date,fips,population,density
4/1/2010,42,235406,431.55851557
4/1/2010,42,235387,431.52368378
7/1/2010,42,235886,432.43847652
7/1/2011,42,237107,434.67687719
7/1/2012,42,239244,438.59453667
7/1/2013,42,241059,441.92188901
7/1/2014,42,243280,445.99354166
7/1/2015,42,245744,450.51067454
7/1/2016,42,247369,453.48970901
7/1/2017,42,249024,456.52374103
7/1/2018,42,251131,460.38640296
7/1/2019,42,253370,464.49105414
4/1/2010,42,1223348,1675.5504153
4/1/2010,42,1223303,1675.4887813
7/1/2010,42,1223957,1676.384528
7/1/2011,42,1228297,1682.32878
7/1/2012,42,1230911,1685.9090277
7/1/2013,42,1233700,1689.7289629
7/1/2014,42,1233027,1688.8071929
7/1/2015,42,1228827,1683.054691
7/1/2016,42,1226426,1679.7661774
7/1/2017,42,1220141,1671.1579691
7/1/2018,42,1217281,1667.2407892
7/1/2019,42,1216045,1665.5479101
4/1/2010,42,365169,355.20872804
4/1/2010,42,365071,355.11340107
7/1/2010,42,365028,355.07157393
7/1/2011,42,364436,354.49572119
7/1/2012,42,362787,352.89169896
7/1/2013,42,360663,350.82563274
7/1/2014,42,358866,349.07764733
7/1/2015,42,356923,347.18764418
7/1/2016,42,354665,344.99123291
7/1/2017,42,352006,342.40475923
7/1/2018,42,350459,340.89995487
7/1/2019,42,348899,339.3825051
4/1/2010,42,7716,18.058842635
4/1/2010,42,7709,18.042459548
7/1/2010,42,7706,18.035438225
7/1/2011,42,7675,17.962884555
7/1/2012,42,7591,17.766287512
7/1/2013,42,7544,17.656286786
7/1/2014,42,7467,17.47607283
7/1/2015,42,7381,17.274794905
7/1/2016,42,7334,17.164794179
7/1/2017,42,7317,17.125006682
7/1/2018,42,7284,17.04777213
7/1/2019,42,7247,16.961175813
4/1/2010,42,127089,241.70536474
4/1/2010,42,127117,241.75861679
7/1/2010,42,127045,241.62168294
7/1/2011,42,126970,241.47904351
7/1/2012,42,126544,240.66885156
7/1/2013,42,125836,239.32233535
7/1/2014,42,125274,238.25349056
7/1/2015,42,124596,236.96403013
7/1/2016,42,123708,235.27517929
7/1/2017,42,123147,234.20823637
7/1/2018,42,122503,232.98343914
7/1/2019,42,121829,231.70158614
4/1/2010,42,91108,255.04291607
4/1/2010,42,91157,255.18008408
7/1/2010,42,91018,254.79097484
7/1/2011,42,90522,253.40249867
7/1/2012,42,89883,251.61371587
7/1/2013,42,89258,249.86412393
7/1/2014,42,88644,248.14532481
7/1/2015,42,88122,246.68406562
7/1/2016,42,87325,244.45298598
7/1/2017,42,86546,242.27229458
7/1/2018,42,86128,241.10216749
7/1/2019,42,85512,239.37776967
4/1/2010,42,62622,54.576669506
4/1/2010,42,62700,54.644648494
7/1/2010,42,62731,54.671665785
7/1/2011,42,63109,55.001102422
7/1/2012,42,63000,54.906106143
7/1/2013,42,62510,54.479058651
7/1/2014,42,61947,53.988389797
7/1/2015,42,61644,53.724317572
7/1/2016,42,61092,53.2432355
7/1/2017,42,60963,53.130808711
7/1/2018,42,60794,52.983520902
7/1/2019,42,60323,52.573032394
4/1/2010,42,143679,208.72579439
4/1/2010,42,143695,208.74903796
7/1/2010,42,143461,208.40910077
7/1/2011,42,142579,207.12779904
7/1/2012,42,141536,205.61260891
7/1/2013,42,138826,201.67572945
7/1/2014,42,137537,199.80316945
7/1/2015,42,136028,197.61101037
7/1/2016,42,134414,195.26631538
7/1/2017,42,132960,193.15405607
7/1/2018,42,131449,190.95899155
7/1/2019,42,130192,189.13291868
4/1/2010,42,498886,664.71264698
4/1/2010,42,499133,665.04174826
7/1/2010,42,499925,666.09700421
7/1/2011,42,503462,670.80968132
7/1/2012,42,506089,674.30988001
7/1/2013,42,509105,678.32837991
7/1/2014,42,512770,683.21160344
7/1/2015,42,515055,686.25612342
7/1/2016,42,516767,688.53718172
7/1/2017,42,518901,691.38051024
7/1/2018,42,522086,695.62418471
7/1/2019,42,524989,699.4921241
4/1/2010,42,411442,480.42842396
4/1/2010,42,411570,480.5778857
7/1/2010,42,412039,481.12552287
7/1/2011,42,413008,482.25699497
7/1/2012,42,413518,482.8525066
7/1/2013,42,413915,483.31607153
7/1/2014,42,414559,484.06805092
7/1/2015,42,415138,484.74413178
7/1/2016,42,415784,485.49844651
7/1/2017,42,417511,487.51501236
7/1/2018,42,420529,491.03904001
7/1/2019,42,421164,491.78051037
4/1/2010,42,46682,113.56900455
4/1/2010,42,46679,113.56170608
7/1/2010,42,46641,113.46925884
7/1/2011,42,46747,113.72713799
7/1/2012,42,46754,113.74416774
7/1/2013,42,46629,113.44006497
7/1/2014,42,46490,113.10190269
7/1/2015,42,46427,112.94863489
7/1/2016,42,46316,112.67859163
