date,population,density,fips
4/1/2010,478,0.6725874744,31009
4/1/2010,478,0.6725874744,31009
7/1/2010,478,0.6725874744,31009
7/1/2011,475,0.6683662141,31009
7/1/2012,498,0.7007292097,31009
7/1/2013,470,0.6613307802,31009
7/1/2014,490,0.6894725156,31009
7/1/2015,477,0.6711803876,31009
7/1/2016,470,0.6613307802,31009
7/1/2017,479,0.6739945611,31009
7/1/2018,480,0.6754016479,31009
7/1/2019,465,0.6542953464,31009
4/1/2010,1941,4.4128569322,31049
4/1/2010,1932,4.3923954627,31049
7/1/2010,1925,4.3764809864,31049
7/1/2011,1957,4.4492328781,31049
7/1/2012,1959,4.4537798713,31049
7/1/2013,1920,4.3651135033,31049
7/1/2014,1926,4.378754483,31049
7/1/2015,1910,4.3423785371,31049
7/1/2016,1861,4.2309772029,31049
7/1/2017,1861,4.2309772029,31049
7/1/2018,1821,4.1400373383,31049
7/1/2019,1794,4.0786529296,31049
4/1/2010,763,1.3370470781,31113
4/1/2010,763,1.3370470781,31113
7/1/2010,772,1.3528182756,31113
7/1/2011,779,1.3650847625,31113
7/1/2012,785,1.3755988942,31113
7/1/2013,777,1.361580052,31113
7/1/2014,767,1.3440564992,31113
7/1/2015,791,1.3861130259,31113
7/1/2016,792,1.3878653812,31113
7/1/2017,765,1.3405517886,31113
7/1/2018,755,1.3230282358,31113
7/1/2019,748,1.3107617489,31113
4/1/2010,5228,9.1110774138,31169
4/1/2010,5228,9.1110774138,31169
7/1/2010,5235,9.1232766376,31169
7/1/2011,5170,9.0099981311,31169
7/1/2012,5145,8.9664294748,31169
7/1/2013,5179,9.0256828474,31169
7/1/2014,5213,9.08493622,31169
7/1/2015,5129,8.9385455347,31169
7/1/2016,5080,8.8531509683,31169
7/1/2017,5034,8.7729846406,31169
7/1/2018,5039,8.7816983719,31169
7/1/2019,5003,8.7189595068,31169
4/1/2010,31364,55.681606614,31001
4/1/2010,31367,55.686932619,31001
7/1/2010,31328,55.617694554,31001
7/1/2011,31204,55.397553015,31001
7/1/2012,31345,55.647875249,31001
7/1/2013,31527,55.970986217,31001
7/1/2014,31389,55.725989989,31001
7/1/2015,31567,56.041999617,31001
7/1/2016,31683,56.247938475,31001
7/1/2017,31808,56.469855349,31001
7/1/2018,31514,55.947906862,31001
7/1/2019,31363,55.679831279,31001
4/1/2010,5505,8.0183085377,31011
4/1/2010,5505,8.0183085377,31011
7/1/2010,5511,8.0270478386,31011
7/1/2011,5407,7.8755666237,31011
7/1/2012,5429,7.9076107268,31011
