date,fips,population,density
4/1/2010,17,30104,42.776028223
4/1/2010,17,30105,42.777449164
7/1/2010,17,30097,42.766081631
7/1/2011,17,29864,42.435002221
7/1/2012,17,29616,42.082608685
7/1/2013,17,29362,41.721689499
7/1/2014,17,29449,41.845311425
7/1/2015,17,29192,41.480129414
7/1/2016,17,29061,41.293986054
7/1/2017,17,28781,40.896122385
7/1/2018,17,28691,40.768237634
7/1/2019,17,28414,40.37463679
4/1/2010,17,58498,85.510980557
4/1/2010,17,58501,85.515365886
7/1/2010,17,58486,85.493439244
7/1/2011,17,58286,85.201084016
7/1/2012,17,57766,84.440960424
7/1/2013,17,57468,84.005351135
7/1/2014,17,57021,83.351937201
7/1/2015,17,56919,83.202836035
7/1/2016,17,56476,82.555269205
7/1/2017,17,55955,81.793683837
7/1/2018,17,55553,81.206049829
7/1/2019,17,55175,80.653498449
4/1/2010,17,67103,78.470116101
4/1/2010,17,67097,78.463099712
7/1/2010,17,67160,78.536771788
7/1/2011,17,67211,78.596411088
7/1/2012,17,67139,78.51221443
7/1/2013,17,66999,78.348498705
7/1/2014,17,66966,78.30990857
7/1/2015,17,66835,78.156717428
7/1/2016,17,66475,77.735734137
7/1/2017,17,66057,77.24692576
7/1/2018,17,65623,76.739407014
7/1/2019,17,65435,76.519560184
4/1/2010,17,37762,79.676524935
4/1/2010,17,37762,79.676524935
7/1/2010,17,37843,79.847432157
7/1/2011,17,38031,80.244105709
7/1/2012,17,37918,80.005679585
7/1/2013,17,37731,79.611115998
7/1/2014,17,37646,79.431768913
7/1/2015,17,37665,79.471858262
7/1/2016,17,37599,79.332600525
7/1/2017,17,37645,79.429658947
7/1/2018,17,37697,79.539377164
7/1/2019,17,37562,79.254531794
4/1/2010,17,105160,166.56725336
4/1/2010,17,105162,166.57042124
7/1/2010,17,105145,166.54349424
7/1/2011,17,104450,165.44265513
7/1/2012,17,104365,165.30802013
7/1/2013,17,104202,165.04983772
7/1/2014,17,104560,165.61688866
7/1/2015,17,104195,165.03875013
7/1/2016,17,104080,164.85659689
7/1/2017,17,104309,165.21931942
7/1/2018,17,104349,165.28267707
7/1/2019,17,104897,166.15067683
4/1/2010,17,6721,30.220368976
4/1/2010,17,6721,30.220368976
7/1/2010,17,6734,30.278822301
7/1/2011,17,6669,29.986555677
7/1/2012,17,6721,30.220368976
7/1/2013,17,6687,30.067491049
7/1/2014,17,6628,29.802202883
7/1/2015,17,6511,29.276122958
7/1/2016,17,6536,29.388533199
7/1/2017,17,6448,28.992849153
7/1/2018,17,6387,28.718568167
7/1/2019,17,6395,28.754539444
4/1/2010,17,9698,19.607219088
4/1/2010,17,9701,19.613284427
7/1/2010,17,9725,19.661807138
7/1/2011,17,9754,19.720438748
7/1/2012,17,9672,19.554652817
7/1/2013,17,9607,19.423237139
7/1/2014,17,9633,19.47580341
7/1/2015,17,9630,19.469738071
7/1/2016,17,9583,19.374714427
7/1/2017,17,9523,19.253407648
7/1/2018,17,9624,19.457607393
7/1/2019,17,9610,19.429302478
4/1/2010,17,38827,67.973936179
4/1/2010,17,38825,67.970434805
7/1/2010,17,38755,67.847886693
7/1/2011,17,38749,67.837382569
7/1/2012,17,38658,67.678070024
7/1/2013,17,38641,67.64830834
7/1/2014,17,38374,67.180874828
7/1/2015,17,38272,67.002304722
7/1/2016,17,38214,66.900764858
7/1/2017,17,38045,66.604898703
7/1/2018,17,37708,66.01491708
7/1/2019,17,37684,65.972900584
4/1/2010,17,81625,90.864177605
4/1/2010,17,81625,90.864177605
7/1/2010,17,81640,90.880875463
7/1/2011,17,81414,90.629294401
7/1/2012,17,80862,90.014813225
7/1/2013,17,80585,89.706459446
7/1/2014,17,79783,88.813680635
7/1/2015,17,79170,88.131294836
7/1/2016,17,78494,87.378778032
7/1/2017,17,77689,86.48265965
7/1/2018,17,76702,85.38394059
7/1/2019,17,75758,84.333088722
4/1/2010,17,677560,810.60367459
4/1/2010,17,677580,810.62760173
7/1/2010,17,678824,812.11586988
7/1/2011,17,680827,814.51217303
7/1/2012,17,682477,816.48616214
