date,fips,population,density
4/1/2010,41,25748,12.64052621
4/1/2010,41,25744,12.638562481
7/1/2010,41,25731,12.63218036
7/1/2011,41,25909,12.719566319
7/1/2012,41,25802,12.667036557
7/1/2013,41,25526,12.531539228
7/1/2014,41,25637,12.586032719
7/1/2015,41,25703,12.618434254
7/1/2016,41,26061,12.794188037
7/1/2017,41,26383,12.952268254
7/1/2018,41,26701,13.108384742
7/1/2019,41,26835,13.174169677
4/1/2010,41,315335,267.10648547
4/1/2010,41,315338,267.10902664
7/1/2010,41,315941,267.61980156
7/1/2011,41,318047,269.40370204
7/1/2012,41,319867,270.94534443
7/1/2013,41,321471,272.30402267
7/1/2014,41,324433,274.81300331
7/1/2015,41,329060,278.73233263
7/1/2016,41,335382,284.0874223
7/1/2017,41,340531,288.44891497
7/1/2018,41,345412,292.58339657
7/1/2019,41,347818,294.62141393
4/1/2010,41,107667,21.380867796
4/1/2010,41,107684,21.384243712
7/1/2010,41,107631,21.373718797
7/1/2011,41,107229,21.293888312
7/1/2012,41,106922,21.23292324
7/1/2013,41,106603,21.169575169
7/1/2014,41,106693,21.187447665
7/1/2015,41,107164,21.280980398
7/1/2016,41,108116,21.470031696
7/1/2017,41,109197,21.68470024
7/1/2018,41,110114,21.866801123
7/1/2019,41,110980,22.038774258
4/1/2010,41,21720,12.186919136
4/1/2010,41,21725,12.189724597
7/1/2010,41,21661,12.153814706
7/1/2011,41,21752,12.204874082
7/1/2012,41,21834,12.250883629
7/1/2013,41,21871,12.271644035
7/1/2014,41,22203,12.457926592
7/1/2015,41,22541,12.647575702
7/1/2016,41,23036,12.925316263
7/1/2017,41,23652,13.27094896
7/1/2018,41,24150,13.550372797
7/1/2019,41,24658,13.835407554
4/1/2010,41,75403,101.76892244
4/1/2010,41,75400,101.76487344
7/1/2010,41,75538,101.95112745
7/1/2011,41,75931,102.48154649
7/1/2012,41,76209,102.85675384
7/1/2013,41,76544,103.30889221
7/1/2014,41,77659,104.81377064
7/1/2015,41,78962,106.57238643
7/1/2016,41,81436,109.91146198
7/1/2017,41,83711,112.98195385
7/1/2018,41,84992,114.71087697
7/1/2019,41,86085,116.18606273
4/1/2010,41,157733,52.270723056
4/1/2010,41,157728,52.269066119
7/1/2010,41,157742,52.273705542
7/1/2011,41,159660,52.909306506
7/1/2012,41,161359,53.472333637
7/1/2013,41,165299,54.77799985
7/1/2014,41,169512,56.174134814
7/1/2015,41,174246,57.742922594
7/1/2016,41,180666,59.87042947
7/1/2017,41,186744,61.884601867
7/1/2018,41,191905,63.594892052
7/1/2019,41,197692,65.512630726
4/1/2010,41,99193,138.55730198
4/1/2010,41,99216,138.58942943
7/1/2010,41,99304,138.71235184
7/1/2011,41,99690,139.25153422
7/1/2012,41,99894,139.53649072
7/1/2013,41,99869,139.50156958
7/1/2014,41,100797,140.79784226
7/1/2015,41,101381,141.61360007
7/1/2016,41,104070,145.36971779
7/1/2017,41,105238,147.00123341
7/1/2018,41,106367,148.57827205
7/1/2019,41,107100,149.60215985
4/1/2010,41,16134,5.2588576966
4/1/2010,41,16131,5.2578798502
7/1/2010,41,16109,5.250708977
7/1/2011,41,16061,5.2350634353
7/1/2012,41,15993,5.2128989179
7/1/2013,41,16016,5.22039574
7/1/2014,41,16015,5.2200697912
7/1/2015,41,15882,5.1767186028
7/1/2016,41,15971,5.2057280446
7/1/2017,41,16083,5.2422343086
7/1/2018,41,16034,5.2262628181
7/1/2019,41,16124,5.2555982087
4/1/2010,41,66380,11.169921176
4/1/2010,41,66384,11.170594265
7/1/2010,41,66322,11.160161377
7/1/2011,41,66308,11.157805564
7/1/2012,41,65909,11.09066488
7/1/2013,41,65682,11.052467048
7/1/2014,41,65280,10.984821548
7/1/2015,41,65670,11.050447779
7/1/2016,41,66198,11.139295601
7/1/2017,41,66810,11.242278303
7/1/2018,41,67687,11.389853188
7/1/2019,41,68238,11.482571274
4/1/2010,41,46034,46.925473809
4/1/2010,41,46033,46.924454443
7/1/2010,41,45999,46.889796014
7/1/2011,41,45871,46.759317224
7/1/2012,41,46164,47.05799133
7/1/2013,41,46322,47.219051087
7/1/2014,41,46343,47.240457764
7/1/2015,41,46999,47.909161566
7/1/2016,41,47793,48.718537814
7/1/2017,41,48757,49.701206206
7/1/2018,41,49224,50.177249919
7/1/2019,41,49962,50.929541696
4/1/2010,41,85579,126.7495811
4/1/2010,41,85581,126.75254327
7/1/2010,41,85574,126.74217569
7/1/2011,41,86266,127.76708495
