date,fips,population,density
4/1/2010,23,34457,75.585710713
4/1/2010,23,34445,75.559387222
7/1/2010,23,34385,75.427769767
7/1/2011,23,34269,75.173309355
7/1/2012,23,34152,74.916655318
7/1/2013,23,34087,74.774069742
7/1/2014,23,34047,74.686324772
7/1/2015,23,33784,74.109401594
7/1/2016,23,33974,74.526190201
7/1/2017,23,34215,75.054853645
7/1/2018,23,34399,75.458480507
7/1/2019,23,34634,75.973982205
4/1/2010,23,38786,53.133639877
4/1/2010,23,38787,53.135009795
7/1/2010,23,38818,53.177477253
7/1/2011,23,38857,53.230904055
7/1/2012,23,38928,53.328168234
7/1/2013,23,39025,53.461050281
7/1/2014,23,39035,53.474749461
7/1/2015,23,39120,53.591192492
7/1/2016,23,39429,54.014497156
7/1/2017,23,39772,54.484379033
7/1/2018,23,39657,54.326838462
7/1/2019,23,39715,54.406293707
4/1/2010,23,17535,4.4268797143
4/1/2010,23,17535,4.4268797143
7/1/2010,23,17550,4.4306666088
7/1/2011,23,17362,4.3832041973
7/1/2012,23,17265,4.3587156126
7/1/2013,23,17173,4.3354893261
7/1/2014,23,17038,4.3014072753
7/1/2015,23,16937,4.275908852
7/1/2016,23,16910,4.2690924419
7/1/2017,23,16804,4.2423317205
7/1/2018,23,16746,4.2276890616
7/1/2019,23,16785,4.2375349874
4/1/2010,23,71870,10.773347541
4/1/2010,23,71873,10.773797242
7/1/2010,23,71699,10.747714558
7/1/2011,23,71388,10.701095509
7/1/2012,23,70767,10.608007311
7/1/2013,23,70064,10.502627273
7/1/2014,23,69520,10.421081411
7/1/2015,23,68818,10.315851274
7/1/2016,23,68243,10.229658498
7/1/2017,23,67609,10.134621593
7/1/2018,23,67318,10.091000553
7/1/2019,23,67055,10.051576727
4/1/2010,23,32856,12.820719225
4/1/2010,23,32855,12.820329016
7/1/2010,23,32827,12.809403153
7/1/2011,23,32717,12.766480122
7/1/2012,23,32543,12.698583691
7/1/2013,23,32260,12.588154438
7/1/2014,23,31965,12.473042672
7/1/2015,23,31776,12.3992931
7/1/2016,23,31603,12.331786878
7/1/2017,23,31374,12.242428932
7/1/2018,23,31321,12.221747835
7/1/2019,23,31379,12.244379978
4/1/2010,23,39736,108.82526543
4/1/2010,23,39734,108.81978801
7/1/2010,23,39730,108.80883318
7/1/2011,23,39672,108.64998817
7/1/2012,23,39611,108.48292704
7/1/2013,23,39691,108.70202361
7/1/2014,23,39891,109.24976503
7/1/2015,23,39786,108.96220078
7/1/2016,23,39761,108.8937331
7/1/2017,23,39759,108.88825569
7/1/2018,23,39717,108.77322999
7/1/2019,23,39772,108.92385888
4/1/2010,23,35293,138.96462016
4/1/2010,23,35287,138.94099543
7/1/2010,23,35228,138.70868555
7/1/2011,23,35121,138.2873778
7/1/2012,23,35115,138.26375307
7/1/2013,23,35021,137.89363224
7/1/2014,23,35076,138.1101923
7/1/2015,23,35120,138.28344034
7/1/2016,23,35156,138.42518874
7/1/2017,23,35436,139.52767631
7/1/2018,23,35690,140.52779003
7/1/2019,23,35856,141.18140766
4/1/2010,23,122151,140.81305895
4/1/2010,23,122154,140.81651728
7/1/2010,23,122076,140.72660055
7/1/2011,23,121792,140.39921143
7/1/2012,23,121591,140.16750293
7/1/2013,23,121139,139.646447
7/1/2014,23,121233,139.75480819
7/1/2015,23,121010,139.49773856
7/1/2016,23,121497,140.05914174
7/1/2017,23,121913,140.53869764
7/1/2018,23,122044,140.68971164
7/1/2019,23,122302,140.98712851
4/1/2010,23,30768,18.130772631
4/1/2010,23,30767,18.130183358
7/1/2010,23,30719,18.101898221
7/1/2011,23,30741,18.114862242
7/1/2012,23,30650,18.061238337
7/1/2013,23,30477,17.95929399
7/1/2014,23,30201,17.796654454
7/1/2015,23,30017,17.688228097
7/1/2016,23,29982,17.667603518
7/1/2017,23,29799,17.559766434
7/1/2018,23,29915,17.628122181
7/1/2019,23,30199,17.795475907
4/1/2010,23,54418,34.287134565
4/1/2010,23,54408,34.280833868
7/1/2010,23,54350,34.244289823
7/1/2011,23,54525,34.354552026
7/1/2012,23,54478,34.324938749
7/1/2013,23,54566,34.380384885
7/1/2014,23,54477,34.324308679
7/1/2015,23,54237,34.173091944
7/1/2016,23,54509,34.34447091
7/1/2017,23,54539,34.363373002
7/1/2018,23,54734,34.4862366
7/1/2019,23,54987,34.645644241
4/1/2010,23,57833,27.845111113
4/1/2010,23,57830,27.84366669
7/1/2010,23,57779,27.819111494
7/1/2011,23,57763,27.811407903
7/1/2012,23,57473,27.671780316
7/1/2013,23,57397,27.635188259
7/1/2014,23,57323,27.59955915
7/1/2015,23,57164,27.523004715
7/1/2016,23,57322,27.599077676
7/1/2017,23,57534,27.701150257
7/1/2018,23,57754,27.807074633
7/1/2019,23,57975,27.913480483
4/1/2010,23,153923,45.308822236
4/1/2010,23,153931,45.311177118
7/1/2010,23,153861,45.290571897
7/1/2011,23,153759,45.260547145
7/1/2012,23,153347,45.139270696
7/1/2013,23,153222,45.102475657
7/1/2014,23,153201,45.096294091
7/1/2015,23,151929,44.721867775
7/1/2016,23,151333,44.546429029
7/1/2017,23,151645,44.638269446
7/1/2018,23,151817,44.68889942
7/1/2019,23,152148,44.786332683
4/1/2010,23,107702,230.15599942
4/1/2010,23,107709,230.17095821
7/1/2010,23,107708,230.16882124
7/1/2011,23,107439,229.59397617
7/1/2012,23,107486,229.69441379
7/1/2013,23,107223,229.13239054
7/1/2014,23,107358,229.42088156
7/1/2015,23,107124,228.92083046
7/1/2016,23,107296,229.28838939
7/1/2017,23,107399,229.50849735
7/1/2018,23,107914,230.60903717
7/1/2019,23,108277,231.38475747
4/1/2010,23,281674,336.95279099
4/1/2010,23,281690,336.97193101
7/1/2010,23,281474,336.7135408
7/1/2011,23,282709,338.19091073
