date,fips,population,density
4/1/2010,55,43857,51.586734768
4/1/2010,55,43865,51.596144757
7/1/2010,55,43887,51.622022226
7/1/2011,55,43800,51.519688598
7/1/2012,55,43806,51.52674609
7/1/2013,55,44046,51.809045753
7/1/2014,55,44075,51.843156963
7/1/2015,55,44267,52.068996694
7/1/2016,55,44354,52.171330322
7/1/2017,55,44714,52.594779817
7/1/2018,55,45091,53.038225539
7/1/2019,55,45368,53.3640464
4/1/2010,55,51208,44.649881554
4/1/2010,55,51204,44.646393827
7/1/2010,55,51233,44.671679848
7/1/2011,55,51178,44.623723601
7/1/2012,55,50871,44.356040551
7/1/2013,55,50994,44.463288157
7/1/2014,55,51684,45.064921071
7/1/2015,55,52071,45.402358662
7/1/2016,55,51985,45.327372531
7/1/2017,55,51728,45.103286069
7/1/2018,55,51444,44.855657449
7/1/2019,55,51439,44.85129779
4/1/2010,55,115507,225.80783091
4/1/2010,55,115512,225.81760555
7/1/2010,55,115524,225.84106468
7/1/2011,55,115208,225.22330754
7/1/2012,55,114767,224.36118443
7/1/2013,55,114697,224.2243395
7/1/2014,55,114982,224.78149388
7/1/2015,55,115196,225.19984841
7/1/2016,55,115030,224.87533041
7/1/2017,55,115089,224.99067115
7/1/2018,55,115233,225.27218073
7/1/2019,55,115340,225.48135799
4/1/2010,55,4232,11.833968193
4/1/2010,55,4232,11.833968193
7/1/2010,55,4269,11.937431526
7/1/2011,55,4372,12.225451073
7/1/2012,55,4363,12.200284316
7/1/2013,55,4383,12.256210442
7/1/2014,55,4507,12.602952421
7/1/2015,55,4509,12.608545034
7/1/2016,55,4527,12.658878547
7/1/2017,55,4599,12.860212599
7/1/2018,55,4595,12.849027374
7/1/2019,55,4556,12.739971429
4/1/2010,55,13587,20.105343063
4/1/2010,55,13588,20.106822811
7/1/2010,55,13551,20.052072116
7/1/2011,55,13440,19.887820031
7/1/2012,55,13343,19.744284425
7/1/2013,55,13365,19.776838893
7/1/2014,55,13231,19.578552592
7/1/2015,55,13245,19.599269071
7/1/2016,55,13134,19.435016986
7/1/2017,55,13105,19.392104279
7/1/2018,55,13114,19.405422015
7/1/2019,55,13031,19.282602889
4/1/2010,55,114638,253.7535062
4/1/2010,55,114638,253.7535062
7/1/2010,55,114872,254.27146988
7/1/2011,55,115230,255.06391005
7/1/2012,55,116543,257.97026181
7/1/2013,55,116881,258.71843157
7/1/2014,55,117440,259.95578925
7/1/2015,55,117699,260.52909094
7/1/2016,55,117681,260.48924758
7/1/2017,55,118033,261.26840662
7/1/2018,55,118041,261.28611478
7/1/2019,55,118016,261.23077678
4/1/2010,55,134063,86.762165509
4/1/2010,55,134061,86.760871159
7/1/2010,55,134050,86.753752239
7/1/2011,55,134339,86.940785692
7/1/2012,55,134368,86.959553755
7/1/2013,55,134884,87.293495838
7/1/2014,55,135133,87.454642308
7/1/2015,55,135314,87.571780906
7/1/2016,55,135101,87.433932721
7/1/2017,55,135452,87.661090998
7/1/2018,55,135421,87.641028586
7/1/2019,55,135692,87.816412897
4/1/2010,55,28816,39.312175253
4/1/2010,55,28815,39.310811005
7/1/2010,55,28846,39.353102698
7/1/2011,55,28991,39.550918683
7/1/2012,55,29289,39.957464637
7/1/2013,55,29461,40.192115322
7/1/2014,55,29410,40.122538666
7/1/2015,55,29441,40.164830359
7/1/2016,55,29540,40.299890928
7/1/2017,55,29372,40.070697235
7/1/2018,55,29494,40.237135512
7/1/2019,55,29649,40.448593978
4/1/2010,55,88759,101.35810845
4/1/2010,55,88750,101.34783092
7/1/2010,55,88728,101.32270808
7/1/2011,55,88389,100.93558791
7/1/2012,55,88148,100.66037859
7/1/2013,55,87933,100.4148599
7/1/2014,55,88071,100.57244864
7/1/2015,55,87816,100.28125206
7/1/2016,55,87382,99.785646891
7/1/2017,55,87705,100.1544959
7/1/2018,55,87833,100.30066516
7/1/2019,55,87839,100.30751685
4/1/2010,55,21430,24.985214134
4/1/2010,55,21444,25.001536719
7/1/2010,55,21455,25.014361607
7/1/2011,55,21414,24.966559751
7/1/2012,55,21315,24.851135757
7/1/2013,55,21395,24.944407671
7/1/2014,55,21415,24.96772565
7/1/2015,55,21447,25.005034416
7/1/2016,55,21500,25.066827059
7/1/2017,55,21684,25.281352463
7/1/2018,55,21928,25.565831803
7/1/2019,55,22195,25.877126818
4/1/2010,55,81442,138.200195
4/1/2010,55,81444,138.20358884
7/1/2010,55,81331,138.01183738
7/1/2011,55,81038,137.51464113
7/1/2012,55,80726,136.98520348
7/1/2013,55,80485,136.57624684
7/1/2014,55,79951,135.67009394
7/1/2015,55,79483,134.87593747
7/1/2016,55,79348,134.64685387
7/1/2017,55,79099,134.22432191
7/1/2018,55,79015,134.081781
7/1/2019,55,78981,134.02408587
4/1/2010,55,15457,18.81418674
4/1/2010,55,15458,18.815403935
7/1/2010,55,15430,18.781322469
7/1/2011,55,15464,18.822707107
7/1/2012,55,15340,18.671774898
7/1/2013,55,15269,18.585354036
7/1/2014,55,15232,18.540317812
7/1/2015,55,15142,18.430770241
7/1/2016,55,15222,18.52814586
7/1/2017,55,15295,18.617001112
7/1/2018,55,15374,18.713159536
7/1/2019,55,15414,18.761847345
4/1/2010,55,27785,57.649697961
4/1/2010,55,27785,57.649697961
7/1/2010,55,27750,57.577078222
7/1/2011,55,27766,57.610275817
7/1/2012,55,27536,57.133060394
7/1/2013,55,27609,57.28452442
7/1/2014,55,27470,56.996120316
7/1/2015,55,27311,56.666219219
7/1/2016,55,27338,56.72224016
7/1/2017,55,27454,56.962922721
7/1/2018,55,27589,57.243027426
7/1/2019,55,27668,57.40694055
4/1/2010,55,101633,141.24209099
4/1/2010,55,101623,141.22819372
7/1/2010,55,101576,141.16287657
7/1/2011,55,101810,141.48807261
7/1/2012,55,101788,141.45749863
7/1/2013,55,101787,141.4561089
7/1/2014,55,101977,141.72015697
7/1/2015,55,101955,141.68958298
7/1/2016,55,102211,142.04535301
7/1/2017,55,102417,142.3316367
7/1/2018,55,103001,143.14323708
7/1/2019,55,103403,143.7019072
4/1/2010,55,7469,32.193039818
4/1/2010,55,7469,32.193039818
7/1/2010,55,7472,32.205970481
7/1/2011,55,7400,31.895634577
7/1/2012,55,7373,31.779258613
7/1/2013,55,7347,31.66719287
7/1/2014,55,7299,31.460302267
7/1/2015,55,7237,31.193068572
7/1/2016,55,7250,31.249101444
7/1/2017,55,7246,31.23186056
7/1/2018,55,7304,31.481853372
7/1/2019,55,7287,31.408579617
4/1/2010,55,18021,30.744714313
4/1/2010,55,18028,30.756656658
7/1/2010,55,18024,30.749832461
7/1/2011,55,18009,30.724241722
7/1/2012,55,17816,30.394974208
7/1/2013,55,17827,30.41374075
7/1/2014,55,17754,30.289199152
7/1/2015,55,17574,29.982110279
7/1/2016,55,17556,29.951401392
7/1/2017,55,17517,29.884865469
7/1/2018,55,17397,29.680139554
7/1/2019,55,17252,29.432762407
4/1/2010,55,24496,39.120886243
4/1/2010,55,24509,39.141647654
7/1/2010,55,24526,39.168797191
7/1/2011,55,24561,39.224693297
7/1/2012,55,24429,39.013885125
7/1/2013,55,24255,38.736001626
7/1/2014,55,24103,38.493252821
7/1/2015,55,23959,38.26328027
7/1/2016,55,24103,38.493252821
7/1/2017,55,24193,38.636985666
7/1/2018,55,24267,38.755166005
7/1/2019,55,24443,39.036243568
4/1/2010,55,16836,26.572471181
4/1/2010,55,16833,26.567736244
7/1/2010,55,16807,26.526700116
7/1/2011,55,16863,26.615085622
7/1/2012,55,16800,26.515651927
7/1/2013,55,16669,26.308892975
7/1/2014,55,16777,26.479350737
7/1/2015,55,16791,26.501447114
7/1/2016,55,16757,26.447784485
7/1/2017,55,16689,26.340459227
7/1/2018,55,16672,26.313627913
7/1/2019,55,16665,26.302579724
4/1/2010,55,41019,71.45939394
4/1/2010,55,41029,71.476814987
7/1/2010,55,41089,71.581341271
7/1/2011,55,40896,71.245115058
7/1/2012,55,40725,70.947215149
7/1/2013,55,40814,71.10226247
7/1/2014,55,41038,71.49249393
7/1/2015,55,41069,71.546499176
7/1/2016,55,41456,72.220693707
7/1/2017,55,42016,73.196272356
7/1/2018,55,42592,74.199724681
7/1/2019,55,42754,74.481945647
4/1/2010,55,48971,153.86083745
4/1/2010,55,48981,153.89225622
7/1/2010,55,49040,154.07762694
7/1/2011,55,49622,155.9061991
7/1/2012,55,49653,156.00359727
7/1/2013,55,49648,155.98788789
7/1/2014,55,49479,155.45691075
7/1/2015,55,49818,156.52200691
7/1/2016,55,49607,155.85907095
7/1/2017,55,49995,157.07811906
7/1/2018,55,50132,157.50855615
7/1/2019,55,50089,157.37345546
4/1/2010,55,166426,612.20919971
4/1/2010,55,166424,612.20184257
7/1/2010,55,166626,612.94491312
7/1/2011,55,166835,613.71373363
7/1/2012,55,167216,615.11526768
7/1/2013,55,167300,615.42426731
7/1/2014,55,167836,617.39597925
7/1/2015,55,167910,617.66819321
7/1/2016,55,167867,617.51001483
7/1/2017,55,168356,619.30883411
7/1/2018,55,168926,621.40561733
7/1/2019,55,169561,623.74150741
4/1/2010,55,5916,7.8026017728
4/1/2010,55,5916,7.8026017728
7/1/2010,55,5924,7.8131529584
7/1/2011,55,5959,7.8593143956
7/1/2012,55,5888,7.7656726231
7/1/2013,55,5829,7.6878576291
7/1/2014,55,5861,7.7300623716
7/1/2015,55,5727,7.5533300123
7/1/2016,55,5660,7.4649638327
7/1/2017,55,5675,7.4847473057
7/1/2018,55,5687,7.5005740842
7/1/2019,55,5687,7.5005740842
4/1/2010,55,34690,28.676629842
4/1/2010,55,34691,28.677456497
7/1/2010,55,34683,28.670843264
7/1/2011,55,34683,28.670843264
7/1/2012,55,34445,28.474099594
7/1/2013,55,34538,28.550978423
7/1/2014,55,34355,28.399700728
7/1/2015,55,34358,28.40218069
7/1/2016,55,34485,28.507165757
7/1/2017,55,34571,28.578258008
7/1/2018,55,34705,28.689029654
7/1/2019,55,34774,28.746068785
4/1/2010,55,84345,116.74790245
4/1/2010,55,84337,116.73682908
7/1/2010,55,84397,116.81987934
7/1/2011,55,84771,117.33755929
7/1/2012,55,85035,117.70298044
7/1/2013,55,85643,118.5445564
7/1/2014,55,86530,119.77231607
7/1/2015,55,87129,120.6014345
7/1/2016,55,87598,121.25061069
7/1/2017,55,88560,122.58218319
7/1/2018,55,89688,124.14352807
7/1/2019,55,90687,125.52631489
4/1/2010,55,37660,37.755097148
4/1/2010,55,37660,37.755097148
7/1/2010,55,37717,37.812241082
7/1/2011,55,37574,37.668879986
7/1/2012,55,37418,37.512486062
7/1/2013,55,37366,37.460354754
7/1/2014,55,37460,37.554592118
7/1/2015,55,37472,37.56662242
7/1/2016,55,37475,37.569629996
7/1/2017,55,37531,37.625771404
7/1/2018,55,37824,37.919511273
7/1/2019,55,37930,38.025778939
4/1/2010,55,28743,32.710676842
4/1/2010,55,28743,32.710676842
7/1/2010,55,28779,32.751646273
7/1/2011,55,28505,32.439823379
7/1/2012,55,28502,32.436409259
7/1/2013,55,28305,32.212215426
7/1/2014,55,28108,31.988021594
7/1/2015,55,27867,31.713754011
7/1/2016,55,27834,31.676198699
7/1/2017,55,27751,31.581741399
7/1/2018,55,27673,31.492974298
7/1/2019,55,27593,31.401931117
4/1/2010,55,52410,70.09555564
4/1/2010,55,52410,70.09555564
7/1/2010,55,52399,70.080843732
7/1/2011,55,52291,69.936399541
7/1/2012,55,51916,69.434857214
7/1/2013,55,52066,69.635474145
7/1/2014,55,51930,69.453581461
7/1/2015,55,51680,69.11921991
7/1/2016,55,51306,68.619015029
7/1/2017,55,51118,68.367575142
7/1/2018,55,51130,68.383624497
7/1/2019,55,50990,68.196382028
4/1/2010,55,45870,53.149249145
4/1/2010,55,45873,53.152725224
7/1/2010,55,45814,53.084362335
7/1/2011,55,45890,53.172423005
7/1/2012,55,45777,53.041490693
7/1/2013,55,45581,52.81438686
7/1/2014,55,45349,52.545570078
7/1/2015,55,45367,52.566426552
7/1/2016,55,45242,52.421589924
7/1/2017,55,45141,52.304561928
7/1/2018,55,45150,52.314990165
7/1/2019,55,45244,52.42390731
4/1/2010,55,16557,13.165282996
4/1/2010,55,16538,13.150175164
7/1/2010,55,16549,13.158921804
7/1/2011,55,16541,13.152560611
7/1/2012,55,16515,13.131886736
7/1/2013,55,16474,13.099285624
7/1/2014,55,16357,13.006253184
7/1/2015,55,16288,12.951387899
7/1/2016,55,16320,12.976832669
7/1/2017,55,16367,13.014204675
7/1/2018,55,16464,13.091334134
7/1/2019,55,16558,13.166078145
4/1/2010,55,19051,54.502436828
4/1/2010,55,19044,54.482410737
7/1/2010,55,19015,54.399445503
7/1/2011,55,19055,54.513880308
7/1/2012,55,18998,54.350810711
7/1/2013,55,18880,54.013228036
7/1/2014,55,18751,53.644175789
7/1/2015,55,18698,53.492549672
7/1/2016,55,18596,53.200740919
7/1/2017,55,18720,53.555488815
7/1/2018,55,18849,53.924541062
7/1/2019,55,18913,54.10763675
4/1/2010,55,14159,11.290571848
4/1/2010,55,14159,11.290571848
7/1/2010,55,14097,11.241132237
7/1/2011,55,13984,11.151024559
7/1/2012,55,13845,11.04018414
7/1/2013,55,13738,10.95486094
7/1/2014,55,13657,10.89027048
7/1/2015,55,13578,10.827274847
7/1/2016,55,13413,10.695701688
7/1/2017,55,13380,10.669387056
7/1/2018,55,13357,10.651046555
