date,fips,population,density
4/1/2010,36,1385108,32939.374068
4/1/2010,36,1384580,32926.817654
7/1/2010,36,1387298,32991.454648
7/1/2011,36,1397335,33230.14542
7/1/2012,36,1411496,33566.909395
7/1/2013,36,1421928,33814.993697
7/1/2014,36,1430942,34029.356416
7/1/2015,36,1440005,34244.884409
7/1/2016,36,1444417,34349.806566
7/1/2017,36,1440625,34259.628683
7/1/2018,36,1432087,34056.585761
7/1/2019,36,1418207,33726.504271
4/1/2010,36,467026,599.99200069
4/1/2010,36,467067,600.04467372
7/1/2010,36,467533,600.64334761
7/1/2011,36,467614,600.74740895
7/1/2012,36,467030,599.99713952
7/1/2013,36,468146,601.43087356
7/1/2014,36,467285,600.32474004
7/1/2015,36,466277,599.02975446
7/1/2016,36,464109,596.24450769
7/1/2017,36,461795,593.27169357
7/1/2018,36,461649,593.08412621
7/1/2019,36,460528,591.64396863
4/1/2010,36,82128,79.139885076
4/1/2010,36,82131,79.142775925
7/1/2010,36,82096,79.109049352
7/1/2011,36,81728,78.754438528
7/1/2012,36,81714,78.740947899
7/1/2013,36,81523,78.556897173
7/1/2014,36,81463,78.499080191
7/1/2015,36,80718,77.781185997
7/1/2016,36,80500,77.571117628
7/1/2017,36,80531,77.600989736
7/1/2018,36,80679,77.743604958
7/1/2019,36,80485,77.556663383
4/1/2010,36,35251,108.89703233
4/1/2010,36,35248,108.88776477
7/1/2010,36,35266,108.94337018
7/1/2011,36,35380,109.29553783
7/1/2012,36,35388,109.32025135
7/1/2013,36,35250,108.89394315
7/1/2014,36,34879,107.7478537
7/1/2015,36,34801,107.50689689
7/1/2016,36,34710,107.22578061
7/1/2017,36,34246,105.79239651
7/1/2018,36,34179,105.58542079
7/1/2019,36,34016,105.08188284
4/1/2010,36,99710,432.9071317
4/1/2010,36,99654,432.66399862
7/1/2010,36,99667,432.72044023
7/1/2011,36,99827,433.41510617
7/1/2012,36,99625,432.53809042
7/1/2013,36,99572,432.30798232
7/1/2014,36,99438,431.7261996
7/1/2015,36,99185,430.62775908
7/1/2016,36,98761,428.78689433
7/1/2017,36,98856,429.19935223
7/1/2018,36,98814,429.01700242
7/1/2019,36,98320,426.87222133
4/1/2010,36,64519,45.708211412
4/1/2010,36,64469,45.672789125
7/1/2010,36,64470,45.673497571
7/1/2011,36,64386,45.613988127
7/1/2012,36,64227,45.501345253
7/1/2013,36,63883,45.257639915
7/1/2014,36,63384,44.904125485
7/1/2015,36,62652,44.385543195
7/1/2016,36,62436,44.232518913
7/1/2017,36,62163,44.039113223
7/1/2018,36,61713,43.720312635
7/1/2019,36,61319,43.441185009
4/1/2010,36,107931,167.58178609
4/1/2010,36,108099,167.84263552
7/1/2010,36,108176,167.96219151
7/1/2011,36,108599,168.61897312
7/1/2012,36,108611,168.63760522
7/1/2013,36,109044,169.30991358
7/1/2014,36,109334,169.76018938
7/1/2015,36,109271,169.66237084
7/1/2016,36,109229,169.59715849
7/1/2017,36,109538,170.07693512
7/1/2018,36,109738,170.38747016
7/1/2019,36,109777,170.44802449
4/1/2010,36,98990,71.187412927
4/1/2010,36,98982,71.181659828
7/1/2010,36,99005,71.198199988
7/1/2011,36,99148,71.301036639
7/1/2012,36,98925,71.140668995
7/1/2013,36,98843,71.081699727
7/1/2014,36,98165,70.594124558
7/1/2015,36,97551,70.152574184
7/1/2016,36,96958,69.726125695
7/1/2017,36,96360,69.29608152
7/1/2018,36,95860,68.936512811
7/1/2019,36,95379,68.590607713
4/1/2010,36,4836,2.8159199526
4/1/2010,36,4841,2.8188313669
7/1/2010,36,4851,2.8246541956
7/1/2011,36,4826,2.8100971239
7/1/2012,36,4803,2.7967046179
7/1/2013,36,4766,2.7751601518
7/1/2014,36,4700,2.7367294825
7/1/2015,36,4699,2.7361471996
7/1/2016,36,4556,2.6528807494
7/1/2017,36,4471,2.6033867055
7/1/2018,36,4432,2.5806776737
7/1/2019,36,4416,2.5713611478
4/1/2010,36,134905,127.23827035
4/1/2010,36,134907,127.24015669
7/1/2010,36,134725,127.06849985
7/1/2011,36,134209,126.58182443
7/1/2012,36,133304,125.72825611
7/1/2013,36,132852,125.30194353
7/1/2014,36,131751,124.263514
7/1/2015,36,130529,123.11096097
7/1/2016,36,129206,121.86314783
7/1/2017,36,128372,121.07654454
7/1/2018,36,127472,120.22769206
7/1/2019,36,126903,119.69102866
4/1/2010,36,2504700,36105.613877
4/1/2010,36,2504721,36105.916595
7/1/2010,36,2509828,36179.534741
7/1/2011,36,2540817,36626.245672
7/1/2012,36,2568450,37024.579376
7/1/2013,36,2587684,37301.840276
7/1/2014,36,2601513,37501.187317
7/1/2015,36,2608794,37606.143989
7/1/2016,36,2608423,37600.79597
7/1/2017,36,2594676,37402.63097
7/1/2018,36,2578074,37163.310732
7/1/2019,36,2559903,36901.373131
4/1/2010,36,51125,98.580759185
4/1/2010,36,51049,98.434213704
7/1/2010,36,51008,98.355156274
7/1/2011,36,50875,98.098701683
7/1/2012,36,50278,96.947548367
7/1/2013,36,50103,96.610108116
7/1/2014,36,49824,96.072131944
7/1/2015,36,49355,95.16779207
7/1/2016,36,48824,94.143901935
7/1/2017,36,48609,93.729332483
7/1/2018,36,48441,93.405389842
7/1/2019,36,48203,92.9464711
4/1/2010,36,42883,109.60143029
4/1/2010,36,42890,109.61932107
7/1/2010,36,42851,109.5196439
7/1/2011,36,42648,109.00081149
7/1/2012,36,42391,108.34396454
7/1/2013,36,42229,107.92992094
7/1/2014,36,41861,106.98937746
7/1/2015,36,41481,106.01816407
7/1/2016,36,41247,105.4201011
7/1/2017,36,40786,104.24186591
7/1/2018,36,40655,103.90705288
7/1/2019,36,40352,103.132638
4/1/2010,36,219607,271.12119212
4/1/2010,36,219598,271.11008095
7/1/2010,36,220109,271.7409485
7/1/2011,36,221111,272.9779921
7/1/2012,36,222483,274.67182825
7/1/2013,36,224087,276.65208567
7/1/2014,36,224513,277.17801439
7/1/2015,36,226078,279.11012341
7/1/2016,36,227122,280.39901914
7/1/2017,36,229276,283.05829252
7/1/2018,36,230170,284.16200208
7/1/2019,36,229863,283.78298772
4/1/2010,36,63096,99.416466842
4/1/2010,36,63066,99.369197697
7/1/2010,36,63036,99.321928551
7/1/2011,36,62528,98.521504354
7/1/2012,36,62449,98.397028937
7/1/2013,36,62170,97.957425884
7/1/2014,36,61942,97.598180378
7/1/2015,36,61434,96.797756181
7/1/2016,36,60835,95.853948909
7/1/2017,36,60338,95.070856731
7/1/2018,36,59785,94.199528816
7/1/2019,36,59461,93.689022044
4/1/2010,36,27087,21.25067507
4/1/2010,36,27090,21.253028672
7/1/2010,36,27077,21.242829729
7/1/2011,36,27027,21.203603024
7/1/2012,36,27196,21.336189287
7/1/2013,36,27098,21.259304945
7/1/2014,36,27089,21.252244138
7/1/2015,36,26827,21.046696205
7/1/2016,36,26647,20.905480068
7/1/2017,36,26605,20.872529636
7/1/2018,36,26486,20.779170078
7/1/2019,36,26296,20.6301086
4/1/2010,36,949113,2204.2217737
4/1/2010,36,949218,2204.4656258
7/1/2010,36,950601,2207.6775076
7/1/2011,36,956262,2220.8246244
7/1/2012,36,959585,2228.5419657
7/1/2013,36,964567,2240.1121716
7/1/2014,36,967044,2245.864761
7/1/2015,36,968773,2249.8801937
7/1/2016,36,970267,2253.3498621
7/1/2017,36,969689,2252.0075138
7/1/2018,36,968213,2248.5796487
7/1/2019,36,967506,2246.9377106
4/1/2010,36,47980,33.263478543
4/1/2010,36,47962,33.250999539
7/1/2010,36,47888,33.199696967
7/1/2011,36,47584,32.988940454
7/1/2012,36,47215,32.733120871
7/1/2013,36,46803,32.447490335
7/1/2014,36,46562,32.280410336
7/1/2015,36,45891,31.815220797
7/1/2016,36,45393,31.469968352
7/1/2017,36,45028,31.216921881
7/1/2018,36,44526,30.868896324
7/1/2019,36,44135,30.597824625
4/1/2010,36,50219,124.57688167
4/1/2010,36,50264,124.68851192
7/1/2010,36,50307,124.79518083
7/1/2011,36,49911,123.8128346
7/1/2012,36,49829,123.60941947
7/1/2013,36,49743,123.39608166
7/1/2014,36,49679,123.23731863
7/1/2015,36,49564,122.95204132
7/1/2016,36,49169,121.97217576
7/1/2017,36,49163,121.95729173
7/1/2018,36,49394,122.53032703
7/1/2019,36,49221,122.10117072
4/1/2010,36,468730,8148.9492497
4/1/2010,36,468730,8148.9492497
7/1/2010,36,469615,8164.3351223
7/1/2011,36,471021,8188.7786669
7/1/2012,36,470614,8181.702904
7/1/2013,36,471803,8202.3738674
7/1/2014,36,471937,8204.7034797
7/1/2015,36,472349,8211.8661684
7/1/2016,36,474040,8241.2644856
7/1/2017,36,475671,8269.6196927
7/1/2018,36,476260,8279.8595559
7/1/2019,36,476143,8277.8254914
4/1/2010,36,111944,41.777917501
4/1/2010,36,111940,41.776424687
7/1/2010,36,111812,41.72865461
7/1/2011,36,112277,41.902194341
7/1/2012,36,112355,41.931304231
7/1/2013,36,111931,41.773065853
7/1/2014,36,111437,41.588703214
7/1/2015,36,110348,41.182284361
7/1/2016,36,109449,40.846774214
7/1/2017,36,108699,40.566871422
7/1/2018,36,108327,40.428039638
7/1/2019,36,107740,40.208969052
4/1/2010,36,101564,213.98059082
4/1/2010,36,101592,214.03958275
7/1/2010,36,101740,214.35139725
7/1/2011,36,101821,214.52205248
7/1/2012,36,102726,216.42875598
7/1/2013,36,103553,218.17112482
7/1/2014,36,103391,217.82981436
7/1/2015,36,103006,217.0186753
7/1/2016,36,102942,216.8838366
7/1/2017,36,102664,216.29813099
7/1/2018,36,102419,215.78195159
7/1/2019,36,102180,215.27841332
4/1/2010,36,65707,75.767632089
4/1/2010,36,65692,75.750335386
7/1/2010,36,65665,75.71920132
7/1/2011,36,65736,75.801072382
7/1/2012,36,65417,75.43322916
7/1/2013,36,65083,75.048089234
7/1/2014,36,64866,74.797863593
7/1/2015,36,64420,74.283574949
7/1/2016,36,64438,74.304330993
7/1/2017,36,64365,74.220153704
7/1/2018,36,64215,74.047186671
7/1/2019,36,63944,73.734692899
4/1/2010,36,49336,98.914760327
4/1/2010,36,49290,98.822533981
7/1/2010,36,49279,98.800479855
7/1/2011,36,49380,99.002976831
7/1/2012,36,49023,98.287220194
7/1/2013,36,48905,98.050639569
7/1/2014,36,48740,97.719827678
7/1/2015,36,48290,96.81761343
7/1/2016,36,47915,96.065768223
7/1/2017,36,47815,95.865276168
7/1/2018,36,47722,95.678818557
7/1/2019,36,47581,95.396124759
4/1/2010,36,297488,373.89361263
4/1/2010,36,297454,373.85088021
7/1/2010,36,297728,374.19525326
7/1/2011,36,298133,374.70427182
7/1/2012,36,297023,373.30918391
7/1/2013,36,296268,372.36027277
7/1/2014,36,295127,370.92622296
7/1/2015,36,294039,369.55878544
7/1/2016,36,293029,368.28938114
7/1/2017,36,293545,368.93790849
7/1/2018,36,293939,369.43310185
7/1/2019,36,294218,369.78375908
4/1/2010,36,744344,1133.1714062
4/1/2010,36,744394,1133.247525
7/1/2010,36,744580,1133.5306869
7/1/2011,36,746751,1136.8357651
7/1/2012,36,747344,1137.7385341
7/1/2013,36,748290,1139.1787017
7/1/2014,36,747364,1137.7689816
7/1/2015,36,745577,1135.0484958
7/1/2016,36,743770,1132.2975624
7/1/2017,36,742724,1130.7051572
7/1/2018,36,742864,1130.9182898
7/1/2019,36,741770,1129.2528105
4/1/2010,36,234878,193.74086736
4/1/2010,36,234860,193.72601993
7/1/2010,36,234756,193.64023475
7/1/2011,36,234218,193.19646145
7/1/2012,36,233765,192.82280102
7/1/2013,36,233347,192.47801061
7/1/2014,36,232598,191.86019238
7/1/2015,36,231264,190.75983255
7/1/2016,36,230375,190.02653428
7/1/2017,36,230011,189.72628617
7/1/2018,36,229474,189.28333772
7/1/2019,36,228671,188.62097719
4/1/2010,36,182493,162.3262258
4/1/2010,36,182519,162.34935261
7/1/2010,36,182418,162.25951383
7/1/2011,36,182448,162.28619862
7/1/2012,36,181538,161.47676009
7/1/2013,36,180698,160.72958606
7/1/2014,36,180400,160.46451718
7/1/2015,36,179658,159.80451346
7/1/2016,36,179042,159.25658584
7/1/2017,36,178635,158.89456223
7/1/2018,36,178418,158.70154228
7/1/2019,36,177573,157.94992078
4/1/2010,36,88830,218.06663318
4/1/2010,36,88847,218.10836607
7/1/2010,36,88895,218.22620012
7/1/2011,36,88899,218.23601962
7/1/2012,36,89137,218.82028011
7/1/2013,36,88199,216.51760644
7/1/2014,36,87177,214.00872319
7/1/2015,36,86705,212.85002173
7/1/2016,36,85644,210.24539831
7/1/2017,36,84736,208.01637093
7/1/2018,36,83935,206.05001527
7/1/2019,36,83456,204.87412967
4/1/2010,36,65393,103.5089942
4/1/2010,36,65206,103.21299643
7/1/2010,36,65240,103.26681421
7/1/2011,36,64849,102.64790979
7/1/2012,36,64796,102.56401737
7/1/2013,36,64627,102.29651137
7/1/2014,36,64585,102.23003059
7/1/2015,36,64344,101.84855753
7/1/2016,36,64000,101.30404827
7/1/2017,36,63483,100.48570151
7/1/2018,36,63213,100.05832505
7/1/2019,36,62914,99.585045201
4/1/2010,36,62259,62.151035592
4/1/2010,36,62278,62.170002644
7/1/2010,36,62259,62.151035592
7/1/2011,36,61971,61.863535018
7/1/2012,36,61747,61.63992346
7/1/2013,36,61614,61.507154098
7/1/2014,36,60950,60.844305552
7/1/2015,36,60504,60.399078968
7/1/2016,36,60132,60.02772406
7/1/2017,36,59920,59.816091692
7/1/2018,36,59810,59.706282445
7/1/2019,36,59493,59.389832161
4/1/2010,36,304204,581.84226735
4/1/2010,36,304208,581.84991803
7/1/2010,36,304086,581.61657213
7/1/2011,36,304596,582.59203451
7/1/2012,36,305723,584.74761509
7/1/2013,36,306589,586.40398845
7/1/2014,36,307151,587.47890974
7/1/2015,36,307433,588.01828305
7/1/2016,36,307597,588.33196115
7/1/2017,36,307717,588.56148171
7/1/2018,36,306585,586.39633777
7/1/2019,36,305506,584.33256541
4/1/2010,36,48946,47.549940622
4/1/2010,36,48923,47.527596638
7/1/2010,36,48971,47.574227561
7/1/2011,36,48800,47.408104899
7/1/2012,36,48210,46.834933138
7/1/2013,36,47900,46.533775095
7/1/2014,36,47652,46.29284866
7/1/2015,36,47334,45.983918796
7/1/2016,36,47044,45.702190304
7/1/2017,36,46639,45.308741893
7/1/2018,36,46332,45.010498282
7/1/2019,36,46091,44.77637219
4/1/2010,36,80317,61.39138458
4/1/2010,36,80337,61.40667185
7/1/2010,36,80218,61.315712591
7/1/2011,36,79815,61.007674094
7/1/2012,36,79348,60.650716332
7/1/2013,36,78996,60.381660374
7/1/2014,36,78677,60.137828412
7/1/2015,36,77926,59.563791411
7/1/2016,36,77658,59.358941988
7/1/2017,36,77176,58.990518773
7/1/2018,36,76726,58.646555191
7/1/2019,36,76117,58.181057809
4/1/2010,36,73442,112.15120711
4/1/2010,36,73452,112.16647782
7/1/2010,36,73440,112.14815296
7/1/2011,36,72887,111.30368226
7/1/2012,36,72414,110.5813773
7/1/2013,36,72457,110.64704138
7/1/2014,36,72210,110.26985465
7/1/2015,36,71636,109.39331544
7/1/2016,36,71387,109.01307456
7/1/2017,36,70942,108.33352761
7/1/2018,36,71117,108.60076517
7/1/2019,36,70941,108.33200053
4/1/2010,36,154727,756.31130987
4/1/2010,36,154751,756.42862276
7/1/2010,36,154861,756.96630684
7/1/2011,36,154864,756.98097095
7/1/2012,36,155016,757.72395258
7/1/2013,36,154944,757.37201391
7/1/2014,36,155016,757.72395258
7/1/2015,36,154733,756.34063809
7/1/2016,36,154475,755.07952453
7/1/2017,36,154710,756.22821324
7/1/2018,36,155079,758.03189892
7/1/2019,36,155299,759.10726707
4/1/2010,36,60079,121.87923748
4/1/2010,36,59934,121.5850833
7/1/2010,36,59928,121.5729114
7/1/2011,36,59880,121.47553622
7/1/2012,36,59672,121.05357711
7/1/2013,36,59112,119.91753335
7/1/2014,36,58725,119.13244597
7/1/2015,36,58462,118.59891113
7/1/2016,36,58013,117.68804747
7/1/2017,36,57798,117.25188782
7/1/2018,36,57487,116.6209778
7/1/2019,36,57280,116.20104734
4/1/2010,36,25348,74.961071541
4/1/2010,36,25364,75.008387982
7/1/2010,36,25376,75.043875313
7/1/2011,36,25454,75.274542962
7/1/2012,36,25337,74.928541488
7/1/2013,36,25207,74.544095406
7/1/2014,36,25149,74.372573307
7/1/2015,36,25128,74.310470478
7/1/2016,36,25059,74.106418327
7/1/2017,36,25002,73.937853506
7/1/2018,36,24951,73.787032351
7/1/2019,36,24913,73.674655804
4/1/2010,36,49221,76.05675045
4/1/2010,36,49214,76.045933985
7/1/2010,36,49139,75.930043282
7/1/2011,36,48857,75.494294239
7/1/2012,36,48587,75.077087709
7/1/2013,36,48308,74.645974295
7/1/2014,36,47964,74.114422271
7/1/2015,36,47616,73.57668941
7/1/2016,36,47494,73.388173867
7/1/2017,36,47442,73.307822979
7/1/2018,36,47381,73.213565208
7/1/2019,36,47188,72.915339799
4/1/2010,36,32749,52.666457029
4/1/2010,36,32723,52.624644214
7/1/2010,36,32686,52.565141362
7/1/2011,36,32618,52.455784768
7/1/2012,36,32039,51.524645539
7/1/2013,36,31900,51.301107797
7/1/2014,36,31767,51.087219165
7/1/2015,36,31405,50.505056124
7/1/2016,36,31304,50.342629419
7/1/2017,36,31255,50.263828344
7/1/2018,36,31146,50.088536158
7/1/2019,36,30999,49.852132934
4/1/2010,36,55531,112.07975135
4/1/2010,36,55513,112.04342145
7/1/2010,36,55455,111.92635845
7/1/2011,36,55112,111.23407207
7/1/2012,36,54845,110.69517859
7/1/2013,36,54345,109.68601478
7/1/2014,36,53932,108.85244547
7/1/2015,36,53801,108.58804455
7/1/2016,36,53610,108.20254398
7/1/2017,36,53802,108.59006288
7/1/2018,36,53633,108.24896551
7/1/2019,36,53383,107.74438361
4/1/2010,36,159429,244.35226928
4/1/2010,36,159433,244.35839997
7/1/2010,36,159340,244.21586153
7/1/2011,36,159589,244.59749671
7/1/2012,36,159437,244.36453065
7/1/2013,36,159545,244.53005916
7/1/2014,36,159666,244.7155124
7/1/2015,36,159436,244.36299798
7/1/2016,36,159294,244.14535864
7/1/2017,36,159200,244.00128753
7/1/2018,36,159283,244.12849926
7/1/2019,36,158714,243.25640923
4/1/2010,36,51599,31.671104121
4/1/2010,36,51601,31.672331707
7/1/2010,36,51645,31.699338598
7/1/2011,36,51545,31.6379593
7/1/2012,36,51791,31.788952374
7/1/2013,36,51212,31.433566237
7/1/2014,36,51096,31.362366251
7/1/2015,36,50540,31.021097352
7/1/2016,36,51081,31.353159356
7/1/2017,36,50465,30.975062879
7/1/2018,36,50279,30.860897384
7/1/2019,36,50022,30.703152587
4/1/2010,36,2230722,20507.051746
4/1/2010,36,2230619,20506.104866
7/1/2010,36,2234701,20543.630736
7/1/2011,36,2255482,20734.670697
7/1/2012,36,2272222,20888.5617
7/1/2013,36,2287185,21026.116722
7/1/2014,36,2298736,21132.305192
7/1/2015,36,2305838,21197.593955
7/1/2016,36,2306830,21206.713422
7/1/2017,36,2295808,21105.388056
7/1/2018,36,2274605,20910.468645
7/1/2019,36,2253858,20719.741247
4/1/2010,36,63216,76.056880572
4/1/2010,36,63254,76.1025994
7/1/2010,36,63356,76.225318361
7/1/2011,36,63091,75.906489688
7/1/2012,36,63003,75.800614507
7/1/2013,36,62765,75.514270265
7/1/2014,36,62475,75.165363416
7/1/2015,36,62246,74.889847318
7/1/2016,36,61795,74.347237011
