date,fips,population,density
4/1/2010,48,10269,11.658460147
4/1/2010,48,10269,11.658460147
7/1/2010,48,10265,11.653918922
7/1/2011,48,10276,11.666407291
7/1/2012,48,10184,11.561959114
7/1/2013,48,9986,11.337168471
7/1/2014,48,9952,11.298568058
7/1/2015,48,9794,11.119189666
7/1/2016,48,9762,11.082859865
7/1/2017,48,9710,11.023823939
7/1/2018,48,9719,11.034041695
7/1/2019,48,9605,10.90461678
4/1/2010,48,116927,129.38409681
4/1/2010,48,116949,129.40844064
7/1/2010,48,117316,129.81453986
7/1/2011,48,118320,130.92550339
7/1/2012,48,119482,132.21129983
7/1/2013,48,119785,132.54658066
7/1/2014,48,122147,135.16022196
7/1/2015,48,125640,139.02535705
7/1/2016,48,128967,142.70680693
7/1/2017,48,133501,147.72384743
7/1/2018,48,138070,152.77961674
7/1/2019,48,142878,158.09984849
4/1/2010,48,7818,2.0278827928
4/1/2010,48,7817,2.0276234064
7/1/2010,48,7875,2.042667817
7/1/2011,48,7754,2.0112820639
7/1/2012,48,7619,1.9762649013
7/1/2013,48,7386,1.9158278726
7/1/2014,48,7194,1.8660256858
7/1/2015,48,7057,1.8304897504
7/1/2016,48,7156,1.856169003
7/1/2017,48,7100,1.8416433652
7/1/2018,48,6856,1.7783530861
7/1/2019,48,6704,1.7389263549
4/1/2010,48,48879,15.543050031
4/1/2010,48,48879,15.543050031
7/1/2010,48,48971,15.572305142
7/1/2011,48,48972,15.572623133
7/1/2012,48,48976,15.573895094
7/1/2013,48,49044,15.595518437
7/1/2014,48,48845,15.532238359
7/1/2015,48,48891,15.546865915
7/1/2016,48,48911,15.553225722
7/1/2017,48,49028,15.590430592
7/1/2018,48,48988,15.577710978
7/1/2019,48,49025,15.589476621
4/1/2010,48,2398,0.6290402843
4/1/2010,48,2398,0.6290402843
7/1/2010,48,2403,0.6303518779
7/1/2011,48,2393,0.6277286907
7/1/2012,48,2316,0.6075301495
7/1/2013,48,2306,0.6049069623
7/1/2014,48,2282,0.5986113131
7/1/2015,48,2254,0.591266389
7/1/2016,48,2220,0.5823475526
7/1/2017,48,2230,0.5849707398
7/1/2018,48,2194,0.5755272659
7/1/2019,48,2171,0.5694939354
4/1/2010,48,137130,152.73798557
4/1/2010,48,137136,152.74466848
7/1/2010,48,137075,152.67672553
7/1/2011,48,139642,155.53589864
7/1/2012,48,144495,160.94126176
7/1/2013,48,149656,166.68968109
7/1/2014,48,154588,172.1830359
7/1/2015,48,159903,178.10298335
7/1/2016,48,157858,175.8252237
7/1/2017,48,156951,174.81498996
7/1/2018,48,161960,180.39410882
7/1/2019,48,166223,185.14231879
4/1/2010,48,6461,7.2318118747
4/1/2010,48,6461,7.2318118747
7/1/2010,48,6467,7.2385276882
7/1/2011,48,6560,7.342622798
7/1/2012,48,6418,7.1836818777
7/1/2013,48,6371,7.1310746716
7/1/2014,48,6417,7.1825625754
7/1/2015,48,6391,7.1534607168
7/1/2016,48,6212,6.953105613
7/1/2017,48,6490,7.2642716401
7/1/2018,48,6243,6.9878039829
7/1/2019,48,6229,6.9721337513
4/1/2010,48,1226,1.3618928343
4/1/2010,48,1226,1.3618928343
7/1/2010,48,1232,1.3685578889
7/1/2011,48,1238,1.3752229436
7/1/2012,48,1280,1.4218783261
7/1/2013,48,1271,1.4118807442
7/1/2014,48,1328,1.4751987634
7/1/2015,48,1380,1.5329625704
7/1/2016,48,1365,1.5162999337
7/1/2017,48,1363,1.5140782489
7/1/2018,48,1391,1.5451818372
7/1/2019,48,1409,1.5651770012
4/1/2010,48,26604,33.784286869
4/1/2010,48,26581,33.755079283
7/1/2010,48,26616,33.799525609
7/1/2011,48,26655,33.849051514
7/1/2012,48,26679,33.879528994
7/1/2013,48,26792,34.023027131
7/1/2014,48,26997,34.283355608
7/1/2015,48,27299,34.666863901
7/1/2016,48,27494,34.914493428
7/1/2017,48,27955,35.499915028
7/1/2018,48,28291,35.926599752
7/1/2019,48,28880,36.674567913
4/1/2010,48,782341,929.80630821
4/1/2010,48,781419,928.71051824
7/1/2010,48,787614,936.07322847
7/1/2011,48,812540,965.69758925
7/1/2012,48,835230,992.66448109
7/1/2013,48,856398,1017.8224876
7/1/2014,48,884688,1051.4449367
7/1/2015,48,915243,1087.759321
7/1/2016,48,943742,1121.630165
7/1/2017,48,971864,1155.0529474
7/1/2018,48,1004307,1193.6112053
7/1/2019,48,1034730,1229.7687086
4/1/2010,48,86771,108.76431549
4/1/2010,48,86771,108.76431549
7/1/2010,48,86905,108.93227965
7/1/2011,48,87297,109.4236375
7/1/2012,48,87509,109.68937184
7/1/2013,48,87312,109.44243946
7/1/2014,48,87567,109.76207275
7/1/2015,48,87829,110.09048029
7/1/2016,48,87682,109.9062211
7/1/2017,48,87572,109.76834007
7/1/2018,48,86810,108.81320058
7/1/2019,48,86715,108.69412151
4/1/2010,48,1505,1.6711758226
4/1/2010,48,1506,1.6722862384
7/1/2010,48,1512,1.6789487334
7/1/2011,48,1507,1.6733966542
7/1/2012,48,1485,1.648967506
7/1/2013,48,1442,1.6012196253
7/1/2014,48,1429,1.5867842196
7/1/2015,48,1439,1.5978883779
7/1/2016,48,1402,1.5568029922
7/1/2017,48,1375,1.5268217648
7/1/2018,48,1382,1.5345946756
7/1/2019,48,1398,1.5523613289
4/1/2010,48,157107,231.71277792
4/1/2010,48,157103,231.70687843
7/1/2010,48,158214,233.34546166
7/1/2011,48,163270,240.80241651
7/1/2012,48,168519,248.54402173
7/1/2013,48,176035,259.62916268
7/1/2014,48,184854,272.63606236
7/1/2015,48,194662,287.10161084
7/1/2016,48,204546,301.67924963
7/1/2017,48,214726,316.69345065
7/1/2018,48,222706,328.46293239
7/1/2019,48,230191,339.50235229
4/1/2010,48,313166,229.71669964
4/1/2010,48,313117,229.68075666
7/1/2010,48,314428,230.64241468
7/1/2011,48,319147,234.10394341
7/1/2012,48,324224,237.82807592
7/1/2013,48,329890,241.98425769
7/1/2014,48,337570,247.61776916
7/1/2015,48,345227,253.23440944
7/1/2016,48,353155,259.04983639
7/1/2017,48,361853,265.43008154
7/1/2018,48,368887,270.58973254
7/1/2019,48,374264,274.5339241
4/1/2010,48,3677,3.966959921
4/1/2010,48,3726,4.0198239504
7/1/2010,48,3734,4.0284548124
7/1/2011,48,3686,3.9766696407
7/1/2012,48,3645,3.9324364732
7/1/2013,48,3561,3.8418124228
7/1/2014,48,3483,3.7576615189
7/1/2015,48,3391,3.6584066065
7/1/2016,48,3387,3.6540911755
7/1/2017,48,3340,3.6033848616
7/1/2018,48,3315,3.576413418
7/1/2019,48,3278,3.5364956816
4/1/2010,48,44911,36.826149286
4/1/2010,48,44923,36.835989054
7/1/2010,48,44965,36.870428239
7/1/2011,48,45504,37.312397789
7/1/2012,48,46438,38.078259681
7/1/2013,48,47021,38.556308379
7/1/2014,48,47715,39.125374924
7/1/2015,48,48363,39.65672236
7/1/2016,48,48720,39.949455439
7/1/2017,48,49083,40.247108401
7/1/2018,48,50322,41.26306438
7/1/2019,48,51153,41.944468269
4/1/2010,48,15216,16.684262188
4/1/2010,48,15213,16.680972704
7/1/2010,48,15244,16.714964038
7/1/2011,48,15143,16.604218081
7/1/2012,48,14932,16.372857715
7/1/2013,48,15068,16.521980984
7/1/2014,48,15126,16.585577672
7/1/2015,48,15111,16.569130253
7/1/2016,48,15044,16.495665113
7/1/2017,48,14854,16.287331135
7/1/2018,48,14799,16.22702393
7/1/2019,48,14714,16.133821887
4/1/2010,48,3476,0.7605252966
4/1/2010,48,3476,0.7605252966
7/1/2010,48,3472,0.7596501237
7/1/2011,48,3412,0.7465225294
7/1/2012,48,3357,0.7344889012
7/1/2013,48,3339,0.730550623
7/1/2014,48,3306,0.7233304461
7/1/2015,48,3541,0.7747468571
7/1/2016,48,4254,0.9307464361
7/1/2017,48,4604,1.0073240695
7/1/2018,48,4788,1.0475820254
7/1/2019,48,4886,1.0690237627
4/1/2010,48,10658,12.754864885
4/1/2010,48,10658,12.754864885
7/1/2010,48,10594,12.678273465
7/1/2011,48,10671,12.770422517
7/1/2012,48,10823,12.952327139
7/1/2013,48,11205,13.409482176
7/1/2014,48,11571,13.847489359
7/1/2015,48,11631,13.919293815
7/1/2016,48,11571,13.847489359
7/1/2017,48,11383,13.622502063
7/1/2018,48,11709,14.012639608
7/1/2019,48,11998,14.358497738
4/1/2010,48,65631,72.918652378
4/1/2010,48,65640,72.928651737
7/1/2010,48,65765,73.06753171
7/1/2011,48,66338,73.704157509
7/1/2012,48,66256,73.613052246
7/1/2013,48,66267,73.625273684
7/1/2014,48,66581,73.974140178
7/1/2015,48,66685,74.089688316
7/1/2016,48,66611,74.007471371
7/1/2017,48,66468,73.848592682
7/1/2018,48,66584,73.977473297
7/1/2019,48,66553,73.943031064
4/1/2010,48,2242,2.4855143786
4/1/2010,48,2242,2.4855143786
7/1/2010,48,2230,2.472211001
7/1/2011,48,2214,2.4544731642
7/1/2012,48,2204,2.4433870162
7/1/2013,48,2137,2.3691098247
7/1/2014,48,2128,2.3591322915
7/1/2015,48,2134,2.3657839803
7/1/2016,48,2091,2.318113544
7/1/2017,48,2110,2.3391772251
7/1/2018,48,2120,2.3502633731
7/1/2019,48,2138,2.3702184395
4/1/2010,48,24554,25.848119598
4/1/2010,48,24552,25.846014188
7/1/2010,48,24556,25.850225009
7/1/2011,48,24749,26.053397082
7/1/2012,48,24661,25.960759038
7/1/2013,48,24721,26.02392134
7/1/2014,48,24782,26.088136348
7/1/2015,48,24945,26.25972727
7/1/2016,48,25018,26.336574738
7/1/2017,48,25119,26.442897947
7/1/2018,48,25278,26.610278049
7/1/2019,48,25346,26.681861992
4/1/2010,48,422679,377.95221146
4/1/2010,48,422504,377.7957295
7/1/2010,48,426287,381.17842232
7/1/2011,48,442031,395.25643333
7/1/2012,48,455750,407.52372456
7/1/2013,48,470017,420.28102786
7/1/2014,48,487913,436.28331985
7/1/2015,48,507133,453.46950961
7/1/2016,48,527622,471.79041711
7/1/2017,48,546251,488.44814496
7/1/2018,48,566463,506.52136387
7/1/2019,48,590551,528.06043458
4/1/2010,48,22150,24.959985523
4/1/2010,48,22251,25.07379855
7/1/2010,48,22214,25.032104669
7/1/2011,48,22024,24.818000955
7/1/2012,48,22022,24.815747232
7/1/2013,48,21921,24.701934206
7/1/2014,48,21915,24.695173036
7/1/2015,48,21793,24.557695914
7/1/2016,48,21528,24.259077577
7/1/2017,48,21343,24.050608172
7/1/2018,48,21119,23.798191163
7/1/2019,48,20938,23.594229205
4/1/2010,48,12934,51.327594466
4/1/2010,48,12934,51.327594466
7/1/2010,48,12919,51.268068108
7/1/2011,48,12770,50.67677295
7/1/2012,48,12703,50.41088855
7/1/2013,48,12680,50.319614801
7/1/2014,48,12606,50.025951434
7/1/2015,48,12370,49.089403398
7/1/2016,48,12429,49.323540407
7/1/2017,48,12375,49.109245517
7/1/2018,48,12303,48.823518998
7/1/2019,48,12388,49.160835028
4/1/2010,48,81837,245.178233
4/1/2010,48,81837,245.178233
7/1/2010,48,82012,245.70252141
7/1/2011,48,82341,246.68818363
7/1/2012,48,82887,248.32396347
7/1/2013,48,82811,248.0962725
7/1/2014,48,83244,249.39351183
7/1/2015,48,83955,251.52362075
7/1/2016,48,84549,253.30320542
7/1/2017,48,84971,254.56748948
7/1/2018,48,83474,250.0825766
7/1/2019,48,83396,249.84889377
4/1/2010,48,7110,8.4515196301
4/1/2010,48,7110,8.4515196301
7/1/2010,48,7085,8.4218026131
7/1/2011,48,7165,8.5168970674
7/1/2012,48,7371,8.7617652874
7/1/2013,48,7635,9.0755769867
7/1/2014,48,7819,9.2942942317
7/1/2015,48,8027,9.541539813
7/1/2016,48,7915,9.4084075769
7/1/2017,48,7605,9.0399165663
7/1/2018,48,7778,9.2455583239
7/1/2019,48,8010,9.5213322415
4/1/2010,48,4092459,2398.6505099
4/1/2010,48,4093176,2399.0707542
7/1/2010,48,4107666,2407.5635566
7/1/2011,48,4179568,2449.7063781
7/1/2012,48,4263094,2498.6621972
7/1/2013,48,4353187,2551.4670317
7/1/2014,48,4455994,2611.723729
7/1/2015,48,4557846,2671.4206867
7/1/2016,48,4623960,2710.1710761
7/1/2017,48,4657972,2730.1060103
7/1/2018,48,4680045,2743.0433208
7/1/2019,48,4713325,2762.5492191
4/1/2010,48,42750,42.996109293
4/1/2010,48,42711,42.956884772
7/1/2010,48,42762,43.008178376
7/1/2011,48,43216,43.464792028
7/1/2012,48,43377,43.626718896
7/1/2013,48,43580,43.830887555
7/1/2014,48,43954,44.207040652
7/1/2015,48,44734,44.991531067
7/1/2016,48,45817,46.080765836
7/1/2017,48,46600,46.868273522
7/1/2018,48,47344,47.616556687
7/1/2019,48,48155,48.432225567
4/1/2010,48,24837,23.470951078
4/1/2010,48,24828,23.462446083
7/1/2010,48,24874,23.505916057
7/1/2011,48,25039,23.661840965
7/1/2012,48,25175,23.790360889
7/1/2013,48,25363,23.968020783
7/1/2014,48,25473,24.071970722
7/1/2015,48,25916,24.490605473
7/1/2016,48,26206,24.764655311
7/1/2017,48,26483,25.026420156
7/1/2018,48,26702,25.233375033
7/1/2019,48,26988,25.503644872
4/1/2010,48,2368139,2714.5892898
4/1/2010,48,2367430,2713.7765656
7/1/2010,48,2372993,2720.1534127
7/1/2011,48,2408697,2761.0807805
7/1/2012,48,2455930,2815.2238
7/1/2013,48,2484486,2847.9574409
7/1/2014,48,2519410,2887.9906976
7/1/2015,48,2557830,2932.0314066
7/1/2016,48,2591488,2970.6134519
7/1/2017,48,2620154,3003.4731855
7/1/2018,48,2629350,3014.0145275
7/1/2019,48,2635516,3021.0825913
4/1/2010,48,707,0.620284774
4/1/2010,48,707,0.620284774
7/1/2010,48,711,0.6237941645
7/1/2011,48,697,0.6115112977
7/1/2012,48,730,0.6404637695
7/1/2013,48,760,0.6667841984
7/1/2014,48,799,0.7010007559
7/1/2015,48,828,0.7264438372
7/1/2016,48,806,0.7071421893
7/1/2017,48,765,0.6711709365
7/1/2018,48,731,0.6413411171
7/1/2019,48,743,0.6518692887
4/1/2010,48,18550,20.2843449
4/1/2010,48,18550,20.2843449
7/1/2010,48,18522,20.25372702
7/1/2011,48,18355,20.071113242
7/1/2012,48,18278,19.986914074
7/1/2013,48,18354,20.070019746
7/1/2014,48,18274,19.982540091
7/1/2015,48,18163,19.861162071
7/1/2016,48,18098,19.790084851
7/1/2017,48,17922,19.597629611
7/1/2018,48,17986,19.667613335
7/1/2019,48,18010,19.693857231
4/1/2010,48,150934,208.17850776
4/1/2010,48,150956,208.20885166
7/1/2010,48,151264,208.63366635
7/1/2011,48,152094,209.77845918
7/1/2012,48,153415,211.60047284
7/1/2013,48,154535,213.14525353
7/1/2014,48,156733,216.17688563
7/1/2015,48,159345,219.77953488
7/1/2016,48,162763,224.49387453
7/1/2017,48,167012,230.35438627
7/1/2018,48,171121,236.02180043
7/1/2019,48,175817,242.49884518
4/1/2010,48,35161,45.81667937
4/1/2010,48,35163,45.819285478
