date,fips,population,density
4/1/2010,20,4861,4.2863124222
4/1/2010,20,4864,4.2889577498
7/1/2010,20,4852,4.2783764395
7/1/2011,20,4923,4.3409825251
7/1/2012,20,4867,4.2916030773
7/1/2013,20,4909,4.3286376631
7/1/2014,20,4881,4.3039479393
7/1/2015,20,4824,4.2536867156
7/1/2016,20,4673,4.1205385618
7/1/2017,20,4570,4.0297156489
7/1/2018,20,4465,3.9371291843
7/1/2019,20,4427,3.9036217019
4/1/2010,20,19754,23.320460219
4/1/2010,20,19749,23.3145575
7/1/2010,20,19773,23.342890549
7/1/2011,20,19685,23.239002704
7/1/2012,20,19705,23.262613578
7/1/2013,20,19433,22.941505692
7/1/2014,20,19305,22.790396098
7/1/2015,20,19206,22.673522272
7/1/2016,20,18956,22.378386348
7/1/2017,20,18829,22.228457298
7/1/2018,20,18682,22.054917374
7/1/2019,20,18466,21.799919935
4/1/2010,20,19126,35.912624547
4/1/2010,20,19108,35.878826197
7/1/2010,20,19121,35.903236117
7/1/2011,20,18942,35.567130303
7/1/2012,20,18861,35.415037728
7/1/2013,20,18773,35.24980135
7/1/2014,20,18805,35.309887306
7/1/2015,20,18794,35.289232759
7/1/2016,20,18824,35.345563342
7/1/2017,20,18932,35.548353442
7/1/2018,20,18856,35.405649298
7/1/2019,20,19043,35.7567766
4/1/2010,20,10117,11.238928488
4/1/2010,20,10117,11.238928488
7/1/2010,20,10111,11.232263115
7/1/2011,20,9983,11.090068508
7/1/2012,20,10026,11.137837009
7/1/2013,20,9973,11.078959554
7/1/2014,20,9945,11.047854483
7/1/2015,20,9845,10.936764946
7/1/2016,20,9789,10.874554805
7/1/2017,20,9687,10.761243477
7/1/2018,20,9715,10.792348548
7/1/2019,20,9707,10.783461385
4/1/2010,20,13371,26.726103797
4/1/2010,20,13372,26.728102608
7/1/2010,20,13363,26.710113308
7/1/2011,20,13350,26.684128763
7/1/2012,20,13306,26.596181073
7/1/2013,20,13069,26.122462832
7/1/2014,20,12892,25.768673259
7/1/2015,20,12683,25.35092173
7/1/2016,20,12670,25.324937186
7/1/2017,20,12555,25.095073904
7/1/2018,20,12501,24.987138102
7/1/2019,20,12369,24.723295032
4/1/2010,20,2726,2.6728382182
4/1/2010,20,2726,2.6728382182
7/1/2010,20,2714,2.6610722393
7/1/2011,20,2693,2.6404817761
7/1/2012,20,2667,2.6149888217
7/1/2013,20,2671,2.6189108147
7/1/2014,20,2686,2.6336182884
7/1/2015,20,2674,2.6218523095
7/1/2016,20,2667,2.6149888217
7/1/2017,20,2684,2.6316572919
7/1/2018,20,2645,2.5934178603
7/1/2019,20,2657,2.6051838393
4/1/2010,20,36311,32.255282169
4/1/2010,20,36309,32.253505557
7/1/2010,20,36312,32.256170475
7/1/2011,20,36249,32.200207192
7/1/2012,20,36267,32.216196702
7/1/2013,20,36170,32.130031012
7/1/2014,20,35896,31.886635145
7/1/2015,20,35752,31.758719069
7/1/2016,20,35650,31.668111849
