date,fips,population,density
4/1/2010,53,252264,349.15923593
4/1/2010,53,252260,349.15369952
7/1/2010,53,253001,350.17931948
7/1/2011,53,256386,354.86450648
7/1/2012,53,258527,357.82786996
7/1/2013,53,261852,362.43001081
7/1/2014,53,264909,366.66121219
7/1/2015,53,267978,370.90902279
7/1/2016,53,273714,378.8482348
7/1/2017,53,280269,387.92102676
7/1/2018,53,286056,395.93082799
7/1/2019,53,290536,402.13160725
4/1/2010,53,4078,4.6949923425
4/1/2010,53,4078,4.6949923425
7/1/2010,53,4094,4.713413107
7/1/2011,53,4005,4.6109476047
7/1/2012,53,3977,4.5787112668
7/1/2013,53,4002,4.6074937113
7/1/2014,53,3985,4.5879216491
7/1/2015,53,3960,4.5591392046
7/1/2016,53,3975,4.5764086713
7/1/2017,53,4002,4.6074937113
7/1/2018,53,4039,4.6500917291
7/1/2019,53,3985,4.5879216491
4/1/2010,53,20318,10.855740669
4/1/2010,53,20317,10.855206377
7/1/2010,53,20376,10.886729593
7/1/2011,53,20689,11.053962925
7/1/2012,53,20638,11.026714043
7/1/2013,53,20871,11.151204031
7/1/2014,53,20863,11.146929697
7/1/2015,53,21005,11.222799132
7/1/2016,53,21286,11.372935126
7/1/2017,53,21751,11.62138081
7/1/2018,53,22136,11.827083151
7/1/2019,53,22425,11.981493479
4/1/2010,53,72797,38.284732305
4/1/2010,53,72800,38.286310038
7/1/2010,53,72848,38.311553759
7/1/2011,53,72366,38.058064728
7/1/2012,53,71773,37.746199592
7/1/2013,53,71046,37.363862403
7/1/2014,53,70780,37.223970116
7/1/2015,53,71011,37.345455523
7/1/2016,53,71531,37.618929166
7/1/2017,53,72490,38.123277673
7/1/2018,53,73801,38.812746801
7/1/2019,53,75061,39.475394474
4/1/2010,53,3978,15.13000549
4/1/2010,53,3979,15.13380891
7/1/2010,53,3983,15.149022591
7/1/2011,53,3992,15.183253372
7/1/2012,53,4000,15.213680734
7/1/2013,53,4034,15.34299702
7/1/2014,53,4043,15.377227802
7/1/2015,53,4023,15.301159398
7/1/2016,53,4161,15.826031383
7/1/2017,53,4251,16.1683392
7/1/2018,53,4415,16.79210011
7/1/2019,53,4488,17.069749783
4/1/2010,53,89120,33.259930143
4/1/2010,53,89124,33.261422958
7/1/2010,53,89558,33.423393444
7/1/2011,53,90594,33.810032668
7/1/2012,53,91300,34.07351461
7/1/2013,53,91701,34.223169368
7/1/2014,53,92897,34.669521213
7/1/2015,53,93527,34.90463966
7/1/2016,53,94221,35.163643155
7/1/2017,53,95357,35.587602767
7/1/2018,53,96672,36.078365875
7/1/2019,53,97733,36.474335196
4/1/2010,53,713335,341.87720149
4/1/2010,53,713299,341.85994792
7/1/2010,53,715500,342.91481235
7/1/2011,53,722068,346.06263134
7/1/2012,53,732097,350.86918991
7/1/2013,53,744112,356.62757072
7/1/2014,53,757239,362.9188953
7/1/2015,53,769698,368.89007021
7/1/2016,53,787110,377.23504955
7/1/2017,53,802089,384.41397474
7/1/2018,53,813059,389.67152259
7/1/2019,53,822083,393.99641884
4/1/2010,53,41120,7.8083051363
4/1/2010,53,41117,7.8077354642
7/1/2010,53,41229,7.8290032214
