date,fips,population,density
4/1/2010,19,18914,32.335845784
4/1/2010,19,18915,32.337555409
7/1/2010,19,18925,32.354651658
7/1/2011,19,18896,32.305072535
7/1/2012,19,18728,32.017855548
7/1/2013,19,18606,31.809281308
7/1/2014,19,18608,31.812700557
7/1/2015,19,18358,31.385294327
7/1/2016,19,18279,31.250233958
7/1/2017,19,18334,31.344263329
7/1/2018,19,18467,31.571643443
7/1/2019,19,18504,31.634899565
4/1/2010,19,18129,23.287202138
4/1/2010,19,18128,23.28591761
7/1/2010,19,18080,23.224260282
7/1/2011,19,18017,23.143335039
7/1/2012,19,17946,23.052133574
7/1/2013,19,17793,22.855600841
7/1/2014,19,17768,22.823487649
7/1/2015,19,17726,22.769537487
7/1/2016,19,17661,22.686043188
7/1/2017,19,17648,22.669344328
7/1/2018,19,17540,22.53061534
7/1/2019,19,17549,22.542176089
4/1/2010,19,24276,55.74550254
4/1/2010,19,24280,55.754687827
7/1/2010,19,24295,55.78913265
7/1/2011,19,24381,55.986616306
7/1/2012,19,24496,56.250693287
7/1/2013,19,24579,56.441287977
7/1/2014,19,24670,56.650253241
7/1/2015,19,24746,56.82477368
7/1/2016,19,24747,56.827070002
7/1/2017,19,24823,57.001590442
7/1/2018,19,24941,57.272556387
7/1/2019,19,25062,57.550411298
4/1/2010,19,10302,26.022405823
4/1/2010,19,10302,26.022405823
7/1/2010,19,10276,25.956730949
7/1/2011,19,10089,25.484377048
7/1/2012,19,9944,25.118113328
7/1/2013,19,9880,24.9564521
7/1/2014,19,9821,24.807420655
7/1/2015,19,9702,24.506831809
7/1/2016,19,9581,24.20119105
7/1/2017,19,9422,23.799563936
7/1/2018,19,9277,23.433300216
7/1/2019,19,9208,23.259009204
4/1/2010,19,11341,19.86148639
4/1/2010,19,11338,19.856232492
7/1/2010,19,11297,19.784429217
7/1/2011,19,11292,19.77567272
7/1/2012,19,11175,19.570770691
7/1/2013,19,11131,19.493713518
7/1/2014,19,11040,19.334345274
7/1/2015,19,11028,19.313329681
7/1/2016,19,10887,19.066396467
7/1/2017,19,10756,18.836976247
7/1/2018,19,10710,18.756416475
7/1/2019,19,10630,18.616312523
4/1/2010,19,19848,31.205414703
4/1/2010,19,19853,31.213275801
7/1/2010,19,19830,31.17711475
7/1/2011,19,19734,31.026181668
7/1/2012,19,19685,30.949142907
7/1/2013,19,19517,30.685010014
7/1/2014,19,19431,30.549799128
7/1/2015,19,19366,30.447604854
7/1/2016,19,19393,30.490054783
7/1/2017,19,19382,30.472760367
7/1/2018,19,19427,30.543510249
7/1/2019,19,19439,30.562376885
4/1/2010,19,35862,69.291842543
4/1/2010,19,35862,69.291842543
7/1/2010,19,35849,69.266724202
7/1/2011,19,35569,68.725713776
7/1/2012,19,35541,68.671612733
7/1/2013,19,35236,68.082297804
7/1/2014,19,35059,67.740301928
7/1/2015,19,34894,67.421492212
7/1/2016,19,34458,66.579061691
7/1/2017,19,34216,66.111474108
7/1/2018,19,33909,65.518294819
7/1/2019,19,33657,65.031385435
4/1/2010,19,46225,81.119572252
4/1/2010,19,46226,81.121327137
