date,fips,population,density
4/1/2010,39,23770,55.26601731
4/1/2010,39,23767,55.259042213
7/1/2010,39,23731,55.175341051
7/1/2011,39,23648,54.982363372
7/1/2012,39,23572,54.805660918
7/1/2013,39,23443,54.505731754
7/1/2014,39,23277,54.119776396
7/1/2015,39,23180,53.894248264
7/1/2016,39,23166,53.861697812
7/1/2017,39,23071,53.640819746
7/1/2018,39,23064,53.62454452
7/1/2019,39,22907,53.259514452
4/1/2010,39,40097,93.46743343
4/1/2010,39,40101,93.476757562
7/1/2010,39,40078,93.423143802
7/1/2011,39,39824,92.831061399
7/1/2012,39,39573,92.245972096
7/1/2013,39,39461,91.984896391
7/1/2014,39,39078,91.092110721
7/1/2015,39,38963,90.824041917
7/1/2016,39,38741,90.306552573
7/1/2017,39,38851,90.562966212
7/1/2018,39,38785,90.409118028
7/1/2019,39,38885,90.642221337
4/1/2010,39,161573,390.62706152
4/1/2010,39,161577,390.63673212
7/1/2010,39,161588,390.66332628
7/1/2011,39,163566,395.44543918
7/1/2012,39,164335,397.30461249
7/1/2013,39,163907,396.26985803
7/1/2014,39,164673,398.1217784
7/1/2015,39,164272,397.1523005
7/1/2016,39,165290,399.61346882
7/1/2017,39,166566,402.698391
7/1/2018,39,167446,404.82592353
7/1/2019,39,168937,408.43064059
4/1/2010,39,62450,137.74599956
4/1/2010,39,62448,137.74158816
7/1/2010,39,62424,137.68865134
7/1/2011,39,62415,137.66880004
7/1/2012,39,62146,137.07546659
7/1/2013,39,61858,136.44022483
7/1/2014,39,61539,135.73660635
7/1/2015,39,60923,134.37789481
7/1/2016,39,60691,133.86617229
7/1/2017,39,60075,132.50746074
7/1/2018,39,59767,131.82810497
7/1/2019,39,59463,131.15757201
4/1/2010,39,15054,36.150482693
4/1/2010,39,15044,36.126468821
7/1/2010,39,15034,36.102454949
7/1/2011,39,15036,36.107257723
7/1/2012,39,14930,35.852710681
7/1/2013,39,14894,35.766260743
7/1/2014,39,14730,35.372433244
7/1/2015,39,14735,35.38444018
7/1/2016,39,14733,35.379637406
7/1/2017,39,14644,35.165913946
7/1/2018,39,14581,35.014626554
7/1/2019,39,14508,34.839325289
4/1/2010,39,22615,55.581607643
4/1/2010,39,22617,55.586523107
7/1/2010,39,22588,55.515248881
7/1/2011,39,22643,55.650424137
7/1/2012,39,22545,55.409566408
7/1/2013,39,22460,55.200659194
7/1/2014,39,22283,54.765640642
7/1/2015,39,22176,54.502663325
7/1/2016,39,22071,54.244601472
7/1/2017,39,22063,54.224939617
7/1/2018,39,21918,53.868568487
7/1/2019,39,21772,53.509739625
4/1/2010,39,77079,306.62422438
4/1/2010,39,77063,306.56057555
7/1/2010,39,76978,306.22244118
7/1/2011,39,76687,305.06482823
7/1/2012,39,76428,304.03451291
7/1/2013,39,76053,302.54274363
7/1/2014,39,75809,301.57209909
7/1/2015,39,75360,299.78595401
7/1/2016,39,74999,298.34987745
7/1/2017,39,74760,297.39912316
7/1/2018,39,74513,296.41654447
7/1/2019,39,74266,295.43396577
4/1/2010,39,45858,100.01534288
4/1/2010,39,45848,99.993533092
7/1/2010,39,45743,99.764530279
7/1/2011,39,45623,99.502812779
7/1/2012,39,45410,99.038264215
7/1/2013,39,45393,99.001187569
7/1/2014,39,45473,99.175665903
7/1/2015,39,45250,98.689307547
7/1/2016,39,45128,98.423228088
7/1/2017,39,45198,98.57589663
7/1/2018,39,45332,98.868147839
7/1/2019,39,45672,99.609680758
4/1/2010,39,541781,1312.4881817
4/1/2010,39,541772,1312.4663789
7/1/2010,39,541645,1312.1587158
7/1/2011,39,541325,1311.3835018
7/1/2012,39,540726,1309.9323981
7/1/2013,39,541926,1312.8394506
7/1/2014,39,542445,1314.0967508
7/1/2015,39,541788,1312.5051396
7/1/2016,39,541003,1310.6034427
7/1/2017,39,541514,1311.8413626
7/1/2018,39,541353,1311.451333
7/1/2019,39,541013,1310.6276681
4/1/2010,39,49423,121.22521402
4/1/2010,39,49455,121.30370393
7/1/2010,39,49349,121.0437061
7/1/2011,39,49259,120.82295322
7/1/2012,39,49159,120.57767225
7/1/2013,39,49203,120.68559588
7/1/2014,39,48995,120.17541146
7/1/2015,39,49030,120.2612598
7/1/2016,39,48765,119.61126523
7/1/2017,39,48738,119.54503937
7/1/2018,39,48622,119.26051344
7/1/2019,39,48590,119.18202353
4/1/2010,39,37642,89.483232425
4/1/2010,39,37652,89.507004603
7/1/2010,39,37512,89.174194111
7/1/2011,39,37584,89.345353793
7/1/2012,39,37521,89.195589072
7/1/2013,39,37426,88.969753381
7/1/2014,39,37195,88.420616069
