date,population,density,fips
7/1/2010,12541,1.8482057319,49027
7/1/2011,12570,1.852479551,49027
7/1/2012,12468,1.8374474974,49027
7/1/2013,12555,1.8502689549,49027
7/1/2014,12538,1.8477636126,49027
7/1/2015,12620,1.8598482048,49027
7/1/2016,12655,1.8650062624,49027
7/1/2017,12821,1.8894701928,49027
7/1/2018,12987,1.9139341233,49027
7/1/2019,13188,1.9435561113,49027
7/1/2010,58502,8.4273199257,49045
7/1/2011,59190,8.526427582,49045
7/1/2012,59792,8.6131467813,49045
7/1/2013,60633,8.734294367,49045
7/1/2014,61442,8.8508322942,49045
7/1/2015,62639,9.02326233,49045
7/1/2016,64612,9.3074765827,49045
7/1/2017,67486,9.7214815307,49045
7/1/2018,69989,10.082043251,49045
7/1/2019,72259,10.409040896,49045
7/1/2010,138389,57.010297205,49053
7/1/2011,141249,58.18849381,49053
7/1/2012,144139,59.379049121,49053
7/1/2013,146987,60.552302244,49053
7/1/2014,151081,62.238853608,49053
7/1/2015,154650,63.709127624,49053
7/1/2016,159352,65.646148756,49053
7/1/2017,165929,68.355588991,49053
7/1/2018,171567,70.678201739,49053
7/1/2019,177556,73.145411344,49053
7/1/2010,7213,1.8077938334,49025
7/1/2011,7295,1.8283454893,49025
7/1/2012,7173,1.7977686354,49025
7/1/2013,7124,1.7854877678,49025
7/1/2014,7167,1.7962648557,49025
7/1/2015,7039,1.764184222,49025
7/1/2016,7297,1.8288467492,49025
7/1/2017,7520,1.8847372282,49025
7/1/2018,7677,1.9240861304,49025
7/1/2019,7886,1.9764677901,49025
7/1/2010,36500,19.51267449,49043
7/1/2011,37421,20.005035399,49043
7/1/2012,37864,20.241860462,49043
7/1/2013,38420,20.539094627,49043
7/1/2014,39113,20.909568146,49043
7/1/2015,39640,21.19129909,49043
7/1/2016,40512,21.657464902,49043
7/1/2017,41330,22.094762648,49043
7/1/2018,41890,22.394135188,49043
7/1/2019,42145,22.530456613,49043
7/1/2010,9312,2.5354343148,49019
7/1/2011,9298,2.5316224505,49019
7/1/2012,9358,2.5479590118,49019
7/1/2013,9376,2.5528599802,49019
7/1/2014,9481,2.5814489624,49019
7/1/2015,9551,2.600508284,49019
7/1/2016,9622,2.6198398815,49019
7/1/2017,9589,2.6108547728,49019
7/1/2018,9686,2.6372655469,49019
7/1/2019,9754,2.6557803164,49019
7/1/2010,1565,2.0634509313,49031
7/1/2011,1499,1.9764299975,49031
7/1/2012,1497,1.9737929995,49031
7/1/2013,1488,1.9619265085,49031
7/1/2014,1467,1.9342380296,49031
7/1/2015,1491,1.9658820055,49031
7/1/2016,1459,1.9236900376,49031
7/1/2017,1407,1.8551280897,49031
7/1/2018,1438,1.8960015586,49031
7/1/2019,1479,1.9500600175,49031
7/1/2010,2254,2.190802285,49033
7/1/2011,2294,2.2296807639,49033
7/1/2012,2257,2.1937181709,49033
7/1/2013,2263,2.1995499427,49033
7/1/2014,2273,2.2092695625,49033
7/1/2015,2300,2.2355125357,49033
7/1/2016,2313,2.2481480413,49033
7/1/2017,2395,2.3278489231,49033
7/1/2018,2456,2.3871386034,49033
7/1/2019,2483,2.4133815766,49033
7/1/2010,23644,20.088107833,49051
7/1/2011,24408,20.737207579,49051
7/1/2012,25344,21.532439728,49051
7/1/2013,26584,22.585952404,49051
7/1/2014,27814,23.63096901,49051
7/1/2015,29118,24.738856534,49051
7/1/2016,30375,25.806812529,49051
7/1/2017,31890,27.093967129,49051
7/1/2018,33067,28.093954564,49051
7/1/2019,34091,28.963952129,49051
7/1/2010,6655,2.5765605276,49001
7/1/2011,6559,2.5393930128,49001
7/1/2012,6500,2.5165504777,49001
7/1/2013,6457,2.4999025284,49001
7/1/2014,6432,2.4902234881,49001
7/1/2018,6625,2.5649456792,49001
7/1/2015,6353,2.4596377208,49001
7/1/2016,6478,2.5080329222,49001
7/1/2017,6421,2.4859647104,49001
7/1/2019,6710,2.5978544162,49001
7/1/2010,50175,8.7327801473,49003
7/1/2011,50239,8.7439191195,49003
7/1/2012,50201,8.7373053548,49003
7/1/2013,50727,8.8288537825,49003
7/1/2014,51300,8.9285823928,49003
7/1/2015,51826,9.0201308205,49003
7/1/2016,52975,9.2201101805,49003
7/1/2017,53977,9.3945047138,49003
7/1/2018,54906,9.5561938569,49003
7/1/2019,56046,9.754606799,49003
7/1/2010,46263,14.034667553,49021
7/1/2011,46622,14.143576306,49021
7/1/2012,46646,14.150857114,49021
7/1/2013,46530,14.115666542,49021
7/1/2014,47041,14.270687079,49021
7/1/2015,48113,14.595896504,49021
7/1/2016,49676,15.070059126,49021
7/1/2017,50761,15.399212322,49021
7/1/2018,52678,15.980766862,49021
7/1/2019,54839,16.63634295,49021
7/1/2010,27940,17.573092837,49039
7/1/2011,28003,17.612717205,49039
7/1/2012,27961,17.58630096,49039
7/1/2013,28128,17.691336983,49039
7/1/2014,28297,17.797630924,49039
7/1/2015,28654,18.02216901,49039
7/1/2016,29232,18.385706865,49039
7/1/2017,29921,18.819059083,49039
7/1/2018,30503,19.18511277,49039
7/1/2019,30939,19.459338557,49039
7/1/2010,20798,10.886533999,49041
7/1/2011,20870,10.924221779,49041
7/1/2012,20658,10.813252205,49041
7/1/2013,20747,10.859838488,49041
7/1/2014,20735,10.853557192,49041
7/1/2015,20858,10.917940483,49041
7/1/2016,21131,11.060839982,49041
7/1/2017,21292,11.145114045,49041
7/1/2018,21497,11.25241953,49041
7/1/2019,21620,11.316802821,49041
7/1/2010,232133,402.81863284,49057
7/1/2011,233847,405.79292403,49057
7/1/2012,236251,409.96456699,49057
7/1/2013,238062,413.10718154,49057
7/1/2014,240152,416.73394267,49057
7/1/2015,242872,421.45393803,49057
7/1/2016,247131,428.8445484,49057
7/1/2017,251576,436.55792316,49057
7/1/2018,255697,443.70906318,49057
7/1/2019,260213,451.5456437,49057
7/1/2010,14824,1.8956904885,49037
7/1/2011,14839,1.8976086858,49037
7/1/2012,15037,1.9229288907,49037
7/1/2013,14988,1.9166627794,49037
7/1/2014,15058,1.925614367,49037
7/1/2015,15239,1.9487606148,49037
