date,population,density,fips
7/1/2010,27245,39.282066348,50019
7/1/2011,27195,39.209975935,50019
7/1/2012,27165,39.166721687,50019
7/1/2013,27135,39.123467439,50019
7/1/2014,27024,38.96342672,50019
7/1/2015,27034,38.977844803,50019
7/1/2016,26766,38.591440187,50019
7/1/2017,26811,38.656321559,50019
7/1/2018,26859,38.725528356,50019
7/1/2019,27037,38.982170228,50019
7/1/2010,6948,84.930610947,50013
7/1/2011,6974,85.248428432,50013
7/1/2012,6972,85.223980933,50013
7/1/2013,6988,85.419560923,50013
7/1/2014,6968,85.175085935,50013
7/1/2015,6871,83.989382242,50013
7/1/2016,6921,84.600569712,50013
7/1/2017,6975,85.260652181,50013
7/1/2018,7110,86.910858352,50013
7/1/2019,7235,88.438827029,50013
7/1/2010,156769,292.16030073,50007
7/1/2011,158033,294.51593622,50007
7/1/2012,158673,295.70866305,50007
7/1/2013,159432,297.12316252,50007
7/1/2014,159945,298.07920762,50007
7/1/2015,161293,300.59138851,50007
7/1/2016,161563,301.09457014,50007
7/1/2017,163031,303.83038731,50007
7/1/2018,163571,304.83675057,50007
7/1/2019,163774,305.21506861,50007
7/1/2010,24515,53.424676493,50015
7/1/2011,24707,53.843095334,50015
7/1/2012,24945,54.361760356,50015
7/1/2013,25111,54.723518312,50015
7/1/2014,25130,54.764924343,50015
7/1/2015,25240,55.004643471,50015
7/1/2016,25331,55.202956568,50015
7/1/2017,25360,55.266155247,50015
7/1/2018,25295,55.124503035,50015
7/1/2019,25362,55.270513776,50015
7/1/2010,47821,75.412867016,50011
7/1/2011,48228,76.054698782,50011
7/1/2012,48317,76.1950502,50011
7/1/2013,48407,76.3369786,50011
7/1/2014,48763,76.898384273,50011
7/1/2015,48988,77.253205273,50011
7/1/2016,48963,77.213780718,50011
7/1/2017,48969,77.223242611,50011
7/1/2018,49258,77.678990474,50011
7/1/2019,49402,77.906075915,50011
7/1/2010,31166,48.020132989,50005
7/1/2011,31111,47.935389765,50005
7/1/2012,31025,47.802882179,50005
7/1/2013,31044,47.832157111,50005
7/1/2014,30873,47.568682724,50005
7/1/2015,30645,47.217383542,50005
7/1/2016,30154,46.46085767,50005
7/1/2017,30141,46.440827454,50005
7/1/2018,30236,46.587202113,50005
7/1/2019,29993,46.212791143,50005
7/1/2010,44502,56.653740286,50025
7/1/2011,44239,56.318925363,50025
7/1/2012,43996,56.009571651,50025
7/1/2013,43885,55.868261931,50025
7/1/2014,43656,55.576731066,50025
7/1/2015,43246,55.054776244,50025
7/1/2016,43163,54.949112219,50025
7/1/2017,42851,54.551917329,50025
7/1/2018,42635,54.276936252,50025
7/1/2019,42222,53.751162248,50025
7/1/2010,37078,54.930665566,50003
7/1/2011,36813,54.538070864,50003
7/1/2012,36610,54.237328507,50003
7/1/2013,36534,54.124735309,50003
7/1/2014,36167,53.581028684,50003
7/1/2015,36153,53.560287831,50003
7/1/2016,35911,53.201767386,50003
7/1/2017,35675,52.852135878,50003
7/1/2018,35520,52.622505014,50003
7/1/2019,35470,52.548430542,50003
7/1/2010,36823,48.051227488,50001
7/1/2011,36969,48.241746436,50001
7/1/2012,36899,48.150401735,50001
7/1/2013,36934,48.196074086,50001
7/1/2014,36932,48.193464237,50001
7/1/2015,36929,48.189549464,50001
7/1/2016,36931,48.192159313,50001
7/1/2017,36900,48.151706659,50001
7/1/2018,36873,48.116473703,50001
7/1/2019,36777,47.991200971,50001
7/1/2010,6312,9.511765363,50009
7/1/2011,6324,9.5298485671,50009
7/1/2012,6224,9.3791551995,50009
7/1/2013,6193,9.3324402555,50009
7/1/2014,6154,9.2736698422,50009
7/1/2015,6193,9.3324402555,50009
7/1/2016,6224,9.3791551995,50009
7/1/2017,6184,9.3188778524,50009
7/1/2018,6234,9.3942245362,50009
7/1/2019,6163,9.2872322452,50009
7/1/2010,59570,86.704954937,50023
7/1/2011,59591,86.735520726,50023
7/1/2012,59407,86.467706194,50023
7/1/2013,59218,86.192614092,50023
7/1/2014,58961,85.818547055,50023
7/1/2015,58652,85.368793302,50023
7/1/2016,58355,84.936505714,50023
7/1/2017,58253,84.78804331,50023
7/1/2018,58079,84.534783915,50023
7/1/2019,58409,85.015103457,50023
7/1/2010,61586,66.234418632,50021
7/1/2011,61235,65.85692568,50021
7/1/2012,60803,65.39231897,50021
7/1/2013,60488,65.053543244,50021
7/1/2014,60039,64.570653399,50021
7/1/2015,59544,64.038291544,50021
7/1/2016,59122,63.584439619,50021
7/1/2017,59006,63.459684113,50021
7/1/2018,58596,63.01873793,50021
7/1/2019,58191,62.583169139,50021
7/1/2010,28944,42.129256757,50017
7/1/2011,29018,42.23696699,50017
7/1/2012,28916,42.088501533,50017
7/1/2013,28848,41.989524562,50017
7/1/2014,28875,42.028824242,50017
7/1/2015,28887,42.046290766,50017
7/1/2016,28908,42.076857184,50017
7/1/2017,28964,42.158367631,50017
7/1/2018,28888,42.04774631,50017
7/1/2019,28892,42.053568485,50017
7/1/2010,56600,58.375887425,50027
7/1/2011,56612,58.388263938,50027
7/1/2012,56138,57.899391665,50027
7/1/2013,55993,57.74984213,50027
7/1/2014,55727,57.475496087,50027
7/1/2015,55541,57.283660132,50027
7/1/2016,55345,57.081510416,50027
7/1/2017,55224,56.956713907,50027
7/1/2018,55204,56.936086385,50027
7/1/2019,55062,56.789630979,50027
