date,population,density,fips
7/1/2010,24720,42.27976666,12133
7/1/2011,24510,41.920593885,12133
7/1/2012,24741,42.315683938,12133
7/1/2013,24504,41.910331806,12133
7/1/2014,24299,41.559710764,12133
7/1/2015,24552,41.99242844,12133
7/1/2016,24454,41.824814479,12133
7/1/2017,24546,41.982166361,12133
7/1/2018,24793,42.404621958,12133
7/1/2019,25473,43.567657611,12133
7/1/2010,865628,1135.0572581,12031
7/1/2011,872355,1143.8780566,12031
7/1/2012,880108,1154.0442006,12031
7/1/2013,885943,1161.6953615,12031
7/1/2014,896668,1175.7585493,12031
7/1/2015,910578,1193.9980776,12031
7/1/2016,926010,1214.233333,12031
7/1/2017,937933,1229.8674017,12031
7/1/2018,948652,1243.922722,12031
7/1/2019,957755,1255.8590575,12031
7/1/2010,28536,97.073253465,12007
7/1/2011,28431,96.716066346,12007
7/1/2012,27051,92.021607075,12007
7/1/2013,26802,91.174563336,12007
7/1/2014,26552,90.324117816,12007
7/1/2015,26748,90.990867104,12007
7/1/2016,26740,90.963652847,12007
7/1/2017,27142,92.331169244,12007
7/1/2018,27752,94.406256313,12007
7/1/2019,28201,95.933656468,12007
7/1/2010,543965,535.93515969,12009
7/1/2011,544359,536.32334359,12009
7/1/2012,546966,538.89185987,12009
7/1/2013,550255,542.13230869,12009
7/1/2014,555548,547.34717509,12009
7/1/2015,565746,557.39463542,12009
7/1/2016,576874,568.35836738,12009
7/1/2017,587769,579.09253882,12009
7/1/2018,595203,586.41680045,12009
7/1/2019,601942,593.05632145,12009
7/1/2010,191451,316.64927158,12019
7/1/2011,192314,318.07662542,12019
7/1/2012,193861,320.63527711,12019
7/1/2013,195657,323.60576089,12019
7/1/2014,198570,328.42370036,12019
7/1/2015,202392,334.7450751,12019
7/1/2016,207246,342.77332026,12019
7/1/2017,212228,351.01327028,12019
7/1/2018,215908,357.09978495,12019
7/1/2019,219252,362.63057436,12019
7/1/2010,8808,16.210703305,12067
7/1/2011,8798,16.192298782,12067
7/1/2012,8791,16.179415616,12067
7/1/2013,8819,16.230948279,12067
7/1/2014,8862,16.310087725,12067
7/1/2015,8724,16.056105317,12067
7/1/2016,8747,16.098435718,12067
7/1/2017,8602,15.831570144,12067
7/1/2018,8691,15.995370393,12067
7/1/2019,8422,15.500288741,12067
7/1/2010,297709,313.12817065,12069
7/1/2011,300505,316.06898321,12069
7/1/2012,303725,319.45575589,12069
7/1/2013,307973,323.92377153,12069
7/1/2014,315340,331.67232879,12069
7/1/2015,325154,341.99462294,12069
7/1/2016,334913,352.25906848,12069
7/1/2017,345432,363.32287651,12069
7/1/2018,356720,375.19551318,12069
7/1/2019,367118,386.1320543,12069
7/1/2010,73513,113.32698034,12089
7/1/2011,74148,114.30589063,12089
7/1/2012,74519,114.8778209,12089
7/1/2013,75384,116.21129713,12089
7/1/2014,76250,117.54631495,12089
7/1/2015,77951,120.16856126,12089
7/1/2016,80055,123.41206876,12089
7/1/2017,82925,127.83643498,12089
7/1/2018,85936,132.47816552,12089
7/1/2019,88625,136.62350377,12089
7/1/2010,916412,3347.2937451,12103
7/1/2011,918455,3354.7560231,12103
7/1/2012,921642,3366.3968846,12103
7/1/2013,928414,3391.1323455,12103
7/1/2014,936400,3420.3020725,12103
7/1/2015,947060,3459.2388731,12103
7/1/2016,959874,3506.0433912,12103
7/1/2017,968341,3536.9700227,12103
7/1/2018,973058,3554.1993743,12103
7/1/2019,974996,3561.2781285,12103
7/1/2010,603102,335.51544204,12105
7/1/2011,609948,339.32398308,12105
7/1/2012,615453,342.38650403,12105
7/1/2013,622633,346.38085469,12105
7/1/2014,634398,352.92591535,12105
7/1/2015,648523,360.78388236,12105
7/1/2016,665823,370.40815346,12105
7/1/2017,685368,381.28135453,12105
7/1/2018,706597,393.09139217,12105
7/1/2019,724777,403.20522157,12105
7/1/2010,278264,486.77292069,12111
7/1/2011,280416,490.53745841,12111
7/1/2012,282931,494.93699948,12111
7/1/2013,285299,499.07939043,12111
7/1/2014,290045,507.38166554,12111
7/1/2015,297282,520.04149803,12111
7/1/2016,305566,534.53286908,12111
7/1/2017,313163,547.82245695,12111
7/1/2018,320425,560.52602245,12111
7/1/2019,328297,574.29667346,12111
7/1/2010,12869,15.955254276,12043
7/1/2011,12837,15.915580009,12043
7/1/2012,12669,15.70729011,12043
7/1/2013,12670,15.708529931,12043
7/1/2014,12943,16.047001017,12043
7/1/2015,13099,16.240413067,12043
7/1/2016,13406,16.621038062,12043
7/1/2017,13580,16.836766887,12043
7/1/2018,13686,16.968187895,12043
7/1/2019,13811,17.123165499,12043
7/1/2010,39009,33.738125924,12051
7/1/2011,38972,33.706125344,12051
7/1/2012,37870,32.753026962,12051
7/1/2013,37809,32.700269248,12051
7/1/2014,38474,33.275414823,12051
7/1/2015,39248,33.944832379,12051
7/1/2016,40037,34.627223144,12051
7/1/2017,41018,35.475670978,12051
7/1/2018,41336,35.750702997,12051
7/1/2019,42022,36.344011064,12051
7/1/2010,138270,275.00889691,12061
7/1/2011,139103,276.66567286,12061
7/1/2012,140473,279.39050246,12061
7/1/2013,141895,282.21875625,12061
7/1/2014,144445,287.29051937,12061
7/1/2015,147434,293.23542132,12061
7/1/2016,151159,300.64417334,12061
7/1/2017,154241,306.77404547,12061
7/1/2018,157187,312.63342358,12061
7/1/2019,159923,318.07512707,12061
7/1/2010,49648,54.072390805,12063
7/1/2011,49197,53.581199856,12063
7/1/2012,49109,53.485357719,12063
7/1/2013,48880,53.235950342,12063
7/1/2014,48730,53.072583064,12063
7/1/2015,48609,52.940800126,12063
7/1/2016,48299,52.603174418,12063
7/1/2017,48289,52.592283266,12063
7/1/2018,48112,52.399509878,12063
7/1/2019,46414,50.55019229,12063
7/1/2010,191249,318.4484838,12109
7/1/2011,196106,326.53586876,12109
7/1/2012,202066,336.45985771,12109
7/1/2013,209439,348.7366313,12109
7/1/2014,217836,362.71846607,12109
7/1/2015,226362,376.91509859,12109
7/1/2016,234828,391.01182518,12109
7/1/2017,243693,405.7729262,12109
7/1/2018,253814,422.62539134,12109
7/1/2019,264672,440.7050343,12109
7/1/2010,423051,1367.6546819,12117
